"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
-1307588.73700548,-1536972.53783294,518488.830531913,214141.570769338,117648.358275506,-471680.761171376,-616693.222469885,261960.799480647,104850.429117232,47193.7190910531
999399.633938419,1223675.82373025,-1402144.67027602,-423847.614722472,-142676.960279161,-298284.687120001,-367655.894493008,414893.288900757,132855.954670727,51980.4716883021
201072.355590173,188794.158260964,-1606101.79105545,-36680.8784779525,12654.7090372787,-161645.251752772,-185009.967662444,3411530.71384731,163061.236354371,55930.0545191729
6723528.92105036,15132749.2256604,-1037414.29739013,-431159.886624734,-167345.552755714,-1090374.17421006,-2782751.22135519,231256.384113204,102223.110336794,44742.0905717337
-820473.993769187,-850102.469800689,5934514.5791636,609468.472608124,244069.308568661,-114724.130237901,-137951.217176381,1198841.68733569,119429.04514284,41805.072325997
-3744269.63690403,-5800810.17921009,435525.277984135,180986.142018052,93757.0167851467,-1366183.31973505,-2478607.66356219,312818.657682068,145162.95360677,66049.9820014903
-2072521.98484697,-1533715.6865416,-430373.346627943,-228508.499599465,-107386.50916915,197694.74932479,131052.014863356,42440.3197993543,28805.7748577021,18566.442305527
-1529126.64415412,-1056583.06354489,-279635.590210642,-144561.940397924,-62999.2292897092,154919.213542876,112913.062249435,41250.3472594075,26182.9243728084,15101.7560175832
-781825.876605681,-872213.138479795,6307727.77893064,642426.074805104,235229.336572212,-106611.125425165,-127528.959229628,1004710.78395174,102401.352057181,34819.9716518474
456142.190796047,-2810523.60494792,-93401.3384552644,-37022.391508638,-1032.76674382826,-425191.444090374,1724180.11730696,42193.0725184115,23319.7862930323,12887.8489981892
103160.967425026,193142.660299395,-260165.994397233,-99217.932716958,-24583.0903675967,-280453.92574958,-440738.254388138,434393.475732325,167975.284188472,68876.0583294607
-1037202.86922265,-1062482.48924043,770927.773489895,252188.5605594,120033.306798668,-269030.247255365,-298223.141494618,267833.817126361,88701.3228897331,37187.3270966513
-437444.241237056,-323966.43217394,-92934.074572949,-45842.9704297883,-14514.9853899563,202580.993796435,178941.468810817,77004.633743028,45540.0088418439,24396.905326384
-422109.160528592,-441232.258992341,-306896.838171818,-204717.473197475,-102497.655183641,145900.571215201,136646.877536107,79420.0913253243,54910.6416905562,33190.1483197301
88000.8418997241,90807.1500049326,2090.49142060073,-5554.81908827139,6721.55670904578,250932.848102848,226913.416468885,86835.2752765734,53673.6634201292,29982.1015601418
-910177.037979183,-1129417.20370617,504505.08973859,217994.690486371,125958.848337897,-163966.826617799,-238012.479266417,133526.10535351,55654.3732122538,27336.1470502043
-377649.361578355,-364447.436004467,-433342.519352357,-675125.72368955,4306489.66044595,-53260.513328519,-57360.949770707,-80847.1786450003,-125400.02555155,751282.202251044
