"ICER (1-year)","ICER (5-year)","ICER (10-year)","ICER (Lifetime)","ICER (Health Sector 1-year)","ICER (Health Sector 5-year)","ICER (Health Sector 10-year)","ICER (Health Sector Lifetime)"
145012.554978978,138547.757007244,134999.356385665,125576.803710498,-238.212600949223,-344.0917142694,-398.853121225249,-539.853701797562
110670.688118814,124104.528522934,132476.563252961,158268.863189586,-40147.9872097856,-43069.1103319232,-45234.5666851549,-53951.4459311137
57055.1318056092,61154.8890692841,63309.4761096551,62518.3137596846,-49156.1434597033,-52386.5326561012,-54486.724823287,-53317.6075780112
142395.619206399,130607.714977668,123275.082626341,105416.045494623,37874.1565083431,35232.556856529,33629.7461103675,29226.9806198647
-10688.8829524617,-8569.08201914018,-7983.67829711453,-8766.52841310243,1196.46629604052,1460.0600435044,1564.75444722405,1728.34821164704
195089.769896921,170098.712451195,156869.738306385,130432.220926881,2949.43305515583,2148.17738251719,1744.06493078953,930.827849202656
114176.01336699,100147.199791142,93600.1168536825,84310.4713997189,-4525.88262473313,-6994.94836499654,-7779.3504900522,-7737.04673440159
161832.808033317,155519.888338511,152227.586655667,141572.134886972,56838.3543071344,54549.6750392317,53244.9401791617,48926.0003734471
792845.755981823,661589.316486073,579462.914435886,412610.077485728,42130.4028922474,35837.7207645552,31599.0965692676,21861.7116218839
227824.363503793,232660.879859726,234830.741096411,212304.086929119,-617.051401932302,-689.218064230982,-755.767292716985,-796.579906003395
1041239.94234548,970211.021198408,914992.803800355,922484.443219004,7556.24489900079,6255.00648299924,5433.47392454281,3785.51854718352
48677.5475151797,53325.4455536198,55710.5024424155,60132.87059722,-2905.54400180678,-3280.48590128937,-3482.06787624064,-3775.611521462
-433107.214454888,-937655.267178457,-3974566.28900283,935049.211709282,-994286.528348355,-2023933.22560857,-8246380.42458332,1786639.9115243
-2171.94896639674,-1974.98613554387,-1817.55853630583,57.9404958469817,-5358.95896299901,-5858.57593615231,-6239.74726536269,-8142.14846056137
9789.69017504215,11945.8451966207,11997.903921626,8227.41493099416,17833.5429939263,18151.6086644737,18423.5797675043,18758.6627844408
157522.699017943,217381.213373669,296389.367693602,-762318.013089046,-52040.96432865,-69943.641688139,-94764.4874971576,255814.466762554
221705.985574732,196330.549726281,182157.345792718,147516.23268151,2523.5907985508,2185.98106182565,1925.11846638961,1237.79641165431
-77720.3712578023,-77584.4328824065,-78536.1523075944,-104833.730365288,-20773.5085425525,-21454.4705678079,-22012.1304937679,-28655.0026825444
-42873.6305362193,-58969.6118205172,-72702.3673042091,-214646.661562346,25701.4009572341,28994.3004881463,32855.8303125586,84773.083181685
164879.962523297,171761.134288771,174946.166214883,186403.260369391,10497.6012496021,11072.0149747483,11226.5666357412,11740.1066250333
-15143573.1973279,1415162.48769095,771195.383876147,312632.707583262,-570569.601640364,50303.7043752638,26832.7047272693,10057.479613722
90622.3307725499,91822.2486059668,92045.3813021318,89323.7510760902,15306.7168810777,15196.7926233478,15106.1157301903,14612.5981522589
-747142.535328942,-1019922.58409446,-1377149.85794303,-31947041.1880298,-87828.2369287307,-118457.411259696,-160137.204334957,-3811611.43951016
377010.284753126,379773.346305097,379636.200693237,382277.426235919,-7878.2549040481,-7366.19800862277,-6804.09956411579,-4689.70249739814
25387.7532383213,49194.4107199033,60736.9590655999,69869.8435867719,17552.281538775,22041.5991667158,24414.3661456618,28048.2089451429
