"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr"
-193048.253392918,-114844.994820878,-36002.0617964948,284248.243130583,80367.4879218088,46758.6018483375
25028160.3392036,-206930.687027693,-59386.0015954918,2091743.4382764,-10806.8596604023,820.318290443474
-14614050.5398433,-498364.131381016,-189518.980138238,3000664.72937755,94120.4364229264,49563.521474351
-4373242.14844654,-265161.504570812,-87822.8854100312,788441.404123376,45379.6055954928,25929.857176779
-491786.711963463,-113867.085109955,-29235.2219536694,146656.842510002,28917.9682825515,19505.0132145929
-842859.953067597,-288262.479407164,-127147.672067361,49421.584394599,18916.8865282221,14359.9756525141
-427183.005265038,-122449.975243732,-33230.4692428713,46115.5529817546,11837.7757671825,10296.9909334896
-2264162.9702944,-317553.349432867,-114260.261766642,-17645.4443663396,-1151.28090625124,6475.57893167301
-3482486.09844874,-618995.128665031,-269919.190295818,-468725.245695045,-48714.1618354028,-19458.0409441434
-712806.993963356,-155974.616943407,-47575.9291791141,344680.81822867,81137.9923757681,51844.9612461831
-2435066.01391066,-401333.656371878,-165423.43023101,48464.2262540391,18207.7530664701,13868.2326605659
-342453.611312283,-27654.4473993489,25120.6708561771,6783508.29875692,231395.958738633,120454.844036537
-1127205.0571578,-331184.205147012,-143205.130596058,51861.1675355315,9840.66792620678,9041.55452073911
-1125178.58736415,-248588.886655187,-104623.964170734,-119213.261765927,-26511.9430289744,-7873.24576831594
-724104.517688259,-224173.010343354,-89835.7274353361,37151.3257351959,14189.5528212,11492.5943281684
802767.368774544,-141284.257725189,-31211.6238188508,-329125.387814814,50929.8681273791,27524.0767283346
-1628481.31992211,-322040.274956345,-118173.117458545,883918.88323325,159932.108805809,85078.7553690125
-152240.369419107,-40841.4258973655,7033.7969179731,208333.505345298,38569.7549690254,24162.2684622497
-558663.845980437,-200510.749056235,-78910.3308618343,282933.480777592,96289.8093283077,61754.9972958902
-1162042.85272044,-240440.60994928,-91731.472462823,61714.3561343547,15469.370362292,11681.5476220541
-2433656.80045232,-410523.819367585,-159423.966406566,455688.267723898,56945.4657527979,31267.0747673752
-3541148.59827155,-520631.514895265,-216068.897562982,422193.495532908,54214.2779454847,32675.9068290543
-120302.734652274,-32489.2298409552,3895.48458806632,-15810.0224556993,6613.77238071489,8014.00047833692
