"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
25164628.7865902,4210686.70726602,648234.665238306,357510.358668729,193551.975125485,3923341.89319976,715828.068961486,119722.466333527,64958.306823868,32710.6148187557
263625.320850179,397349.437371352,-215093.607244211,-79921.9898373574,-16536.9413143408,-369870.005917147,-559034.518845113,231521.037281856,93670.6229263057,41322.2743611062
-324699.808488961,-303655.30904673,-232662.07787673,-164800.001559277,-76018.3480913206,936627.93975083,667925.336590225,252333.448583821,159857.972676478,85268.1680190211
-452346.850001297,-395630.623680184,-1236571.07775362,585799.901944907,145448.733979883,-298359.381958432,-281587.174454159,-982050.357692728,449246.614648775,96397.7868217787
1735447.3731167,2028919.78596183,-5736023.14336175,-1195314.92575153,-403332.88985324,-233698.503035002,-299591.536779962,931529.058400082,198077.14663359,71320.6442612276
-237112.789348908,-208635.422928006,-88366.0384069054,-47411.1456699287,-12128.0590691815,333120.259038704,281612.644695264,114917.292087327,69743.5941223824,37804.8288774964
244030.373185515,306999.028002882,801202.975290224,-4536178.35718154,-245558.783258531,-66684.5676024128,-77043.2292043446,-176267.721203127,1029206.48449157,62991.9559594746
4414321.05222186,7293061.63210867,640981.869517983,293250.913046694,147680.122491947,1458088.37958885,2623341.16836214,319857.686734758,158915.496911455,74775.4086542243
-39543089.1728917,5738044.06150653,526229.911589619,269609.581183234,145570.920346016,-5473811.98915682,909387.873770646,101580.745809849,51537.376918529,25019.2253311716
-178401.611756022,48485.3345541548,-279674.187303862,-102597.996830001,-25435.0526352186,-534062.612904576,-715461.614644441,322657.81664465,110173.849511064,42064.175004988
