"n_inc_costs_TOTAL_6mo","n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_TOTAL_life","n_inc_costs_HEALTH_SECTOR_6mo","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_costs_HEALTH_SECTOR_life","n_inc_qalys_TOTAL_6mo","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr","n_inc_qalys_TOTAL_life","n_inc_costs_TX_6mo","n_inc_costs_TX_1yr","n_inc_costs_TX_5yr","n_inc_costs_TX_10yr","n_inc_costs_TX_life","n_inc_costs_HRU_6mo","n_inc_costs_HRU_1yr","n_inc_costs_HRU_5yr","n_inc_costs_HRU_10yr","n_inc_costs_HRU_life","n_inc_costs_CRIMINAL_6mo","n_inc_costs_CRIMINAL_1yr","n_inc_costs_CRIMINAL_5yr","n_inc_costs_CRIMINAL_10yr","n_inc_costs_CRIMINAL_life"
5488.1993654926,8651.21622324708,17074.786736647,18222.9390006776,16669.5057637106,-790.600168721358,-1438.5566969795,-3249.8015387293,-3623.67269632601,-3728.22952450567,0.0166906224783603,0.0255458981621556,0.022884019957361,-0.0110499703948008,-0.0988656037892053,-1180.42931716613,-2141.3999745315,-4931.76553063386,-5551.28637893969,-6245.24230682911,389.823277816026,702.816016770909,1681.5527320044,1926.85959339408,2515.56260925647,6278.79953421396,10089.7729202266,20324.5882753763,21846.6116970036,20397.7352882162
58.7491896144566,2149.58906019854,10016.0784862131,9292.80793855892,3103.53177507373,-844.069945490908,-1352.26455145801,-3203.16772029031,-4034.34683464079,-4856.52159774274,0.00861826828440498,0.0100060312828918,-0.0435968334049863,-0.122945654413424,-0.281227596262104,-1512.46229796968,-2750.64941374256,-6540.71915357577,-7633.44888882369,-9019.4910948731,668.379117372723,1398.3240375475,3336.63517528864,3597.40382952808,4159.60975037747,902.819135105365,3501.85361165656,13219.2462065033,13327.1547731997,7960.05337281647
2150.82983727307,3638.35986579952,7760.35451380533,7724.84744294733,5263.70324949536,-1215.0298236833,-2022.9067492437,-4334.98462062815,-4928.55666300689,-5139.09134987941,0.00679542450269766,0.00829738549857229,-0.0233208470211603,-0.0744965850149866,-0.186373310455599,-1388.09680293775,-2427.88978121786,-5608.00502590558,-6416.92531490473,-7140.51617147674,173.059048568512,404.945707544806,1272.39243668412,1487.09663341495,1998.60695147293,3365.85966095637,5661.26661504323,12095.3391344335,12653.4041059542,10402.7945993748
2703.35064958312,3911.42575273283,6382.31860335852,6193.65588081701,4451.70924782054,-1365.38323488307,-2289.72198492464,-4863.63149879579,-5396.85299696908,-5504.25096809215,0.00791404873282425,0.00962503226298317,-0.0163073984195941,-0.0530725568888517,-0.128474856508406,-1442.85115282866,-2533.93139621565,-5673.06500624103,-6327.07013745703,-6840.91821066548,77.451188646404,244.131985175253,808.335176710767,928.22160537514,1333.25678847991,4068.73388446619,6201.14773765747,11245.9501021543,11590.5088777861,9955.96021591267
-767.878645092553,-768.181560890916,-388.87367078838,-839.932267698459,-2054.32911521732,-927.340493935728,-1493.03139620363,-3046.26852033876,-3423.22757131409,-3492.90065626796,-0.00296287930375411,-0.00641437785765642,-0.0374872765969276,-0.0662354463861048,-0.116869559848075,-1180.4982887211,-1992.33981273612,-4139.97446175467,-4583.45142543668,-4897.05748502203,253.14708165448,499.261119370859,1093.11404105351,1159.19197954914,1402.24399552573,159.461848843177,724.849835312711,2657.39484955039,2583.29530361561,1438.57154105068
-1007.65004082864,-1176.00237124981,-291.858577108913,-653.785243663879,-3456.36529292224,-1255.91463294911,-2219.53034972007,-5117.12506524138,-5818.04457421168,-6158.54946393313,0.00824284798581593,0.0106840239290553,-0.019447235246207,-0.069242692071227,-0.170199485218147,-1532.82189047509,-2746.98012325114,-6286.11882981373,-7086.27432088103,-7881.67934435304,276.896224363073,527.403662810284,1168.36515622396,1267.11540189477,1721.12758196294,248.264592120468,1043.52797847026,4825.26648813247,5164.25933054782,2702.18417101086
-1646.91631965577,-1915.63356432983,-133.22528632282,51.1795919391152,-2150.11482917925,-1220.14476288707,-2095.76980574554,-4450.50827386503,-4911.10441925379,-5051.84451556441,-0.00517080250632795,-0.0087510357426176,-0.0451906800464661,-0.0861628771159451,-0.16855798285386,-1298.83111092237,-2339.55451747111,-5324.69728589861,-5939.3485528722,-6500.52282038081,78.6698203092283,243.710417683244,873.040912200917,1025.95343099966,1444.36395073371,-426.771556768705,180.136241415716,4317.28298754222,4962.28401119291,2901.7296863852
-3643.21907877404,-5590.05133656508,-10074.2774098055,-10968.7455494167,-11834.7608772895,-1100.85579545172,-1883.25725194147,-4091.79816567515,-4501.8139166247,-4630.46210667789,-0.00473315480179903,-0.00697086112213019,-0.0209156950585725,-0.0337809712222281,-0.0606858057682036,-1330.85271365359,-2285.31200039126,-4997.31154432922,-5527.95331683282,-5817.83467473581,229.996244200973,402.050664513181,905.406955758193,1025.89833799269,1186.83958057556,-2542.36328332232,-3706.79408462362,-5982.47924413039,-6466.93163279202,-7204.29877061164
-3291.58359796778,-4817.01563210465,-7120.37559521809,-7174.77059111395,-7412.67731879861,-1016.66825224002,-1707.19278046536,-3536.10629124622,-3810.97276163632,-3898.46879930914,0.000536802479393805,0.00248107712513157,0.005373151137678,0.00265108497641542,-0.00710119602099191,-1099.31854911362,-1834.974210442,-3776.56993442544,-4068.67248858454,-4184.04443127301,82.6531907689869,127.793388840737,240.605772977611,257.947371468686,286.004169915861,-2274.91534572775,-3109.82285163929,-3584.26930397187,-3363.79782947764,-3514.20851948945
6875.67380049739,10757.1744557985,20044.1523968606,20689.4241628108,18030.3753923564,-939.853248302924,-1584.12694719741,-3467.04279279907,-3973.2022652805,-4167.97774630782,-0.00709295892779432,-0.0146198120996638,-0.0654770550499593,-0.114073130410865,-0.218034362871547,-1311.28973460451,-2343.16599259845,-5505.05755141907,-6290.24067973242,-7034.6976435919,371.426975614033,758.996246157671,2037.3437637083,2315.71664323519,2864.04989919257,7815.52704880031,12341.3014029959,23511.1951896596,24662.6264280913,22198.3531386642
