"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
2032049.14536334,4593175.37120841,-638791.663038495,-258235.689320146,-258235.689320146,-265118.092529324,-434314.872222126,46518.9591794031,23609.4639661908,23609.4639661908
-112.811580404935,258011.551192475,46510994.2651428,-711390.349559434,-711390.349559434,-97159.4603264169,-123426.299487104,-9751395.62685644,163849.836826486,163849.836826486
-830461.203418778,-1168799.31858191,-566743.245428086,-302402.568351196,-302402.568351196,337318.15470082,233159.963402065,61349.0226741684,35133.788364431,35133.788364431
766879.089724656,1629288.8037896,-2473814.46497671,-827260.032635249,-827260.032635249,-220630.245508076,-284132.520749369,265784.447573536,91409.0157219054,91409.0157219054
423405.483427867,898178.032438693,-1915174.6499052,-526261.612590846,-526261.612590846,-46264.563098337,-50609.3120988589,57018.6463677557,19846.9453780618,19846.9453780618
-798302.024187244,-946860.269990809,-448251.46389028,-248377.071037044,-248377.071037044,278120.836179703,199524.365250568,56457.7653591262,34383.2405546981,34383.2405546981
830879.966432865,1444823.1514582,-2728004.55395352,-714023.567377051,-714023.567377051,-89901.1147294085,-102820.213316685,138519.281247425,43471.9209221313,43471.9209221313
2840983.78727994,18192730.0831642,-1319892.3737758,-628770.615997656,-628770.615997656,-320254.043138871,-1264174.62301675,61797.3074548095,33066.3990206456,33066.3990206456
-999991.416620375,-977496.96028288,-545861.989584398,-333960.887153132,-333960.887153132,168023.726392836,137452.149780146,65209.9020754621,43372.3341611315,43372.3341611315
3708451.41653716,12688824.4384319,-1089374.47590454,-464978.505845593,-464978.505845593,-376123.089231986,-1068887.5122722,72813.1539376286,34157.8439730857,34157.8439730857
1798908.57520902,6040703.83998865,-1247911.97710912,-577437.326628419,-577437.326628419,-351489.051219009,-865134.422139599,127056.773722984,62350.5740940808,62350.5740940808
805428.986854167,1310051.32847838,-2054938.91758503,-617836.723569281,-617836.723569281,-285642.33007735,-346026.616885898,376602.796336533,116029.87861157,116029.87861157
808334.948683634,1433941.5662132,-1252903.21690527,-413372.420817,-413372.420817,-138230.982957632,-175022.4741123,111703.531295771,42725.6260006269,42725.6260006269
1177049.71309854,3567292.36077131,-928341.657383925,-431342.351613866,-431342.351613866,-366521.254246399,-863655.295190901,176657.32078463,86835.5481400773,86835.5481400773
517549.78902004,1111790.71637565,-568454.874378442,-201588.790975377,-201588.790975377,-177164.937476496,-254172.042449039,94490.3050993645,40273.4141960753,40273.4141960753
1511202.05426254,1059445.27566417,203925.295645652,122561.068313094,122561.068313094,340223.560490386,283006.505367623,91104.5335740825,51725.7144407445,51725.7144407445
713783.269895016,1317503.23444674,-1389475.10261918,-494287.440745059,-494287.440745059,-170137.708983395,-242127.847822086,186804.828739058,69945.3968317358,69945.3968317358
465439.050953121,619999.106714396,1845350.52574343,-3763994.92835432,-3763994.92835432,-41272.3137290221,-46139.8476532276,-113489.057382409,246393.185199912,246393.185199912
-288616.12169148,-159481.259117981,116419.963342902,184850.354502858,184850.354502858,-233096.86727378,-241043.942785474,-223890.004116439,-218660.063352554,-218660.063352554
