,Alive,Death,ODN,ODF,REL,BUP,BUPC,MET,METC,ABS,,ODF,,,ODN,,,29000,,
43,0,0.018908905,0.028398015,0.062427288,0.444826844,0.050097353,0.029470269,0.246413221,0.103016623,0.016441482,,,,,,,,,,
44,0,0.019391308,0.028372605,0.063945566,0.44425432,0.050183812,0.029514619,0.244715377,0.103086644,0.01653575,,,,,,,,,,
45,0,0.019872743,0.028344806,0.065462357,0.443662404,0.050262505,0.029554813,0.243071725,0.103142595,0.016626052,,,,,,,,,,
46,0,0.020353208,0.028314757,0.066977539,0.443052734,0.050333792,0.029591015,0.241479084,0.103185362,0.016712507,,,,,,,,,,
47,0,0.020832699,0.028282586,0.068491,0.442426798,0.050398011,0.029623384,0.239934525,0.103215763,0.016795235,,,,,,,,,,
48,0,0.021311213,0.028248412,0.070002632,0.441785947,0.050455482,0.029652074,0.23843534,0.103234552,0.016874348,,0.018233157,528.761539,,0.340729519,9881.156063,,,,
49,0,0.021824832,0.028211039,0.071512265,0.441111081,0.05050476,0.029676105,0.236971394,0.103238767,0.016949758,,,,,,,,,,
50,0,0.022337375,0.028172039,0.07301981,0.44042402,0.050547785,0.029696699,0.235547913,0.103232625,0.017021734,,,,,,,,,,
51,0,0.022848838,0.028131334,0.074525177,0.439725832,0.050584866,0.029714024,0.234162789,0.103216753,0.017090387,,,,,,,,,,
52,0,0.023359221,0.028089047,0.076028281,0.43901738,0.050616275,0.02972822,0.232814035,0.103191718,0.017155823,,,,,,,,,,
53,0,0.023868523,0.028045272,0.077529043,0.438299447,0.05064227,0.029739423,0.231499818,0.103158061,0.017218144,,,,,,,,,,
54,0,0.024376742,0.028000089,0.079027387,0.437572771,0.050663095,0.029747762,0.230218424,0.103116281,0.017277448,,,,,,,,,,
55,0,0.024883879,0.027953577,0.080523242,0.436838034,0.050678981,0.02975336,0.228968253,0.103066841,0.017333833,,,,,,,,,,
56,0,0.025389933,0.027905812,0.082016541,0.436095864,0.050690145,0.029756333,0.227747813,0.103010171,0.017387389,,,,,,,,,,
57,0,0.025894903,0.027856862,0.08350722,0.435346841,0.050696795,0.029756793,0.226555706,0.102946672,0.017438209,,,,,,,,,,
58,0,0.02639879,0.027806794,0.084995221,0.434591498,0.050699126,0.029754846,0.225390626,0.102876721,0.017486378,,,,,,,,,,
59,0,0.026901594,0.02775567,0.086480485,0.433830325,0.050697328,0.029750596,0.224251349,0.102800669,0.017531983,,,,,,,,,,
60,0,0.027403315,0.02770355,0.087962961,0.433063777,0.050691579,0.02974414,0.223136729,0.102718845,0.017575105,,0.017960328,520.8495241,,0.335631083,9733.30141,,,,
61,0,0.027943917,0.02764903,0.089442519,0.432269668,0.050680058,0.02973429,0.222037518,0.102627416,0.017615584,,,,,,,,,,
62,0,0.028483326,0.027593798,0.090919121,0.431471409,0.050664818,0.029722365,0.220960753,0.102530714,0.017653694,,,,,,,,,,
63,0,0.029021543,0.027537704,0.092392722,0.430669407,0.050646054,0.029708485,0.219905528,0.10242904,0.017689516,,,,,,,,,,
64,0,0.029558568,0.027480828,0.093863279,0.429863914,0.050623931,0.029692739,0.218870961,0.102322656,0.017723125,,,,,,,,,,
65,0,0.030094403,0.027423219,0.095330753,0.429055156,0.050598604,0.029675216,0.21785623,0.102211824,0.017754596,,,,,,,,,,
66,0,0.03062905,0.027364917,0.096795108,0.428243371,0.05057022,0.029655996,0.216860555,0.102096785,0.017783998,,,,,,,,,,
67,0,0.031162508,0.027305962,0.098256308,0.427428788,0.050538917,0.029635157,0.215883196,0.101977764,0.0178114,,,,,,,,,,
68,0,0.031694781,0.027246392,0.09971432,0.426611624,0.050504824,0.029612769,0.214923451,0.101854969,0.017836869,,,,,,,,,,
69,0,0.03222587,0.027186243,0.101169113,0.425792086,0.050468064,0.029588902,0.213980657,0.101728598,0.017860468,,,,,,,,,,
70,0,0.032755776,0.027125549,0.102620658,0.424970366,0.050428754,0.02956362,0.213054182,0.101598836,0.017882259,,,,,,,,,,
71,0,0.033284501,0.027064344,0.104068929,0.424146648,0.050387007,0.029536984,0.212143428,0.101465856,0.017902302,,,,,,,,,,
72,0,0.033812046,0.027002658,0.105513898,0.423321105,0.050342928,0.029509056,0.21124783,0.101329825,0.017920654,,,,,,,,,,
73,0,0.034378537,0.026939053,0.106955464,0.422471143,0.050294583,0.029478578,0.210358836,0.101186685,0.01793712,,,,,,,,,,
74,0,0.034943735,0.026875204,0.108393612,0.421620102,0.050244005,0.029446866,0.209483812,0.1010407,0.017951962,,,,,,,,,,
75,0,0.035507643,0.026810933,0.109828322,0.420768179,0.050191327,0.029414003,0.208622316,0.100892039,0.017965238,,,,,,,,,,
76,0,0.036070263,0.026746299,0.111259573,0.419915427,0.050136654,0.029380045,0.2077739,0.100740837,0.017977002,,,,,,,,,,
77,0,0.036631597,0.026681331,0.112687347,0.419061895,0.050080084,0.02934505,0.206938146,0.100587244,0.017987306,,,,,,,,,,
78,0,0.037191647,0.026616048,0.114111628,0.418207656,0.050021709,0.029309069,0.206114651,0.100431391,0.0179962,,,,,,,,,,
79,0,0.037750417,0.026550472,0.1155324,0.417352791,0.049961616,0.029272146,0.205303025,0.1002734,0.018003733,,,,,,,,,,
80,0,0.038307909,0.026484625,0.116949649,0.416497378,0.049899882,0.029234327,0.204502894,0.100113386,0.01800995,,,,,,,,,,
81,0,0.038864125,0.026418525,0.11836336,0.415641498,0.049836585,0.029195653,0.203713902,0.099951456,0.018014897,,,,,,,,,,
82,0,0.039419067,0.026352191,0.119773521,0.414785231,0.049771796,0.029156161,0.202935705,0.099787712,0.018018617,,,,,,,,,,
83,0,0.039972738,0.02628564,0.121180121,0.413928653,0.049705582,0.029115891,0.202167974,0.09962225,0.01802115,,,,,,,,,,
