"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
5974002.47177025,-37968399.3804136,-803389.77705898,-393900.301261217,-177927.578464188,-909948.651419654,6077514.94008715,136386.00125601,70295.1063475019,36008.7994587074
1537092.4914701,1221198.58824218,413843.794421585,259109.868280685,162744.17843686,343242.693268161,312021.710205967,128723.863530798,79486.2976947783,45568.277857292
-3947408.61107073,14144375.9049512,505369.831912194,273225.230697478,144586.654924109,-1120810.33780454,4019965.2886855,131511.383486062,66014.1537659075,30075.1337240231
755917.35180849,744012.115151276,2070280.00369077,-861350.519096414,-171035.105174529,-263348.249780736,-277896.544399255,-913056.746337319,418062.058337955,99841.0975182255
62742.0234969134,250187.943306464,-230413.031843016,-87881.5308006623,-25008.6929788493,-187346.277794707,-258816.374384594,137678.765273395,58371.6147132406,27639.2007034207
-4056623.72968234,-2079385.1718133,-357752.403911138,-168629.34915237,-65898.6121787799,764612.310052451,395572.642879511,74919.0839893022,40804.4801562913,21183.7219695058
205938.704163691,-22483.6990224946,-160490.173572134,-100568.92413988,-35609.2383273901,189083.657813015,170649.429507445,93325.165035663,65242.5956979754,40367.8887895216
-440537.581656217,-327393.644419923,-115065.922114213,-60515.9225050907,-17302.4291580042,494385.797762665,437466.022978113,135948.760504084,73828.4605115305,35934.9506204162
171637.140539133,1379156.48125915,-125259.86757361,-43844.1814007167,-908.596155165918,-533109.500743845,-1471915.73974493,90080.722114882,46235.8066124187,25229.0586552025
12264538.4151038,2818755.07774847,282977.679413086,149623.383072294,85866.1422310296,5360554.09620615,1319168.67005227,143862.151266077,73739.1459817346,35024.5394160079
-4342726.65443429,311003.299887355,-69340.8130033981,-43559.8599713341,-9224.46547172286,-5012787.2534056,729039.349490506,97622.2851956971,54452.031272347,28507.0332568473
636172.518462608,773287.496708023,-2031779.55258885,-365310.356465492,-110665.99216581,-112608.367067417,-131482.660555347,332148.232830301,66748.204980434,25612.3744060913
181754.053666015,133037.871361568,39425.9612729231,28864.7481720484,25910.1612470411,116833.69216113,106893.086463353,50280.4080676604,31721.6749834337,18954.1601461606
47098730.4937379,-2912850.62849039,-444411.56066243,-230283.039349195,-102486.031099504,-15849828.1534324,1046928.58677563,183550.467914685,103989.312424257,54599.6694510752
-1295996.06736963,-1296093.17806089,-367916.118206941,-180268.606496568,-75420.4797044214,723632.249527007,669396.966032178,184759.430489418,95761.1257734835,46749.9976634474
1390562.82396824,1480640.5827579,-642757.578635486,-241794.043705461,-85373.9134380087,-607848.614737969,-757026.182093254,412610.252682728,161923.002590709,66473.1186479411
-202586.308776611,-295800.836477165,-264716.535573811,-192251.155770925,-108867.698969812,342336.24923229,322507.919297961,162265.98524544,111745.746889275,68826.4497067509
5908.14021151775,-21830.0406197643,403171.470656322,78781.5386183196,47423.3917648942,-132035.138980834,-144176.249334268,699851.524703558,94261.7016554742,33796.9329857897
40679.3511982661,97543.1502389297,1359105.76063827,-320498.683309646,-53018.9928265398,-111247.546756904,-132348.254621502,-935445.256438124,235344.148760796,64735.448804666
-313955.444390901,-304648.970036056,-414991.798485031,-962868.305254873,506832.967040274,-83120.6174991722,-89951.7743438306,-147455.137695691,-340779.251989019,163299.733782912
85733.0385460034,149181.615813185,-331555.294196954,-107148.053465295,-29716.8409270187,-311588.198027947,-373407.364838704,389531.120685924,116920.487570317,47015.1749189839
-160955.409592722,-198599.021957458,375383.941367974,134013.558151849,74912.7880638561,-307959.436582981,-389393.808146607,569488.260390172,167204.988935551,66880.7756547194
-150350.301145635,-123112.779091908,-110014.429709384,-104892.059638915,-107560.544162289,-175661.95823461,-172821.984496716,-164015.727269937,-154576.78757983,-160449.971961168
-425713.271283444,-321149.784535266,-106148.985496407,-49548.6440945687,-10901.240624413,215239.879673723,187955.615694397,89590.349090621,55859.7249231739,30853.9274756323
-131546.680656562,-115226.174128772,78797.0630675235,34302.4244774327,24913.9975067418,-177313.530845254,-227781.090900553,239430.945201543,78071.2774585766,32328.9716819694
-3341689.4003651,2592364.66543667,206824.42502135,114274.464121652,70614.1578869626,-2111515.16557385,1718999.61922761,136616.050346093,68349.0874265144,31618.5417677127
-2515346.16551107,2105464.43398596,156903.360579912,82089.5768786153,53161.5714257589,-2626315.01693197,2097465.23711323,162089.84049865,85433.0567313521,42164.9776187547
8692228.88414684,1320318.38624877,119371.846846987,65869.4092445297,45212.4372034137,4301745.43682072,732925.16573775,87288.227779085,43739.1353773518,20390.2178290797
338732.625929154,490263.8102016,-1320928.44208923,-272466.979456898,-76725.7980628403,-112414.018447217,-142907.577052401,328388.625989074,72253.1723933584,26038.3272331367
-531627.101778987,-583230.47695293,1677443.25941975,300837.967154707,119121.441975569,-155500.723712927,-181996.107629004,595113.973558381,107090.322374952,38093.5241933641
-412054.894826821,-574238.42813237,1024883.66327557,272374.292869064,122086.804239457,-219522.746174415,-277683.133086094,471308.824877372,123560.328403485,48312.5109850189
190944.219172568,210612.810422131,445157.544366227,9769461.75425554,-142797.454554009,-278553.060667245,-260359.344632155,-371956.425311254,-7747757.96739465,129689.55078484
-1364805.93805635,-1234376.8908979,-309211.994618171,-149679.65258639,-54406.9728658864,818748.57843304,540901.335754373,87567.0903173416,43375.2335726473,20182.9278325282
-1988558.5777577,-1124539.82604527,-258922.147461486,-130132.150032762,-54878.9916671948,219278.518730093,119811.804568143,38251.5721135731,25236.182743927,15975.4174213577
-158214.371049928,-129813.339412745,356980.432734256,79128.1131859083,57303.0059394258,-158750.966271445,-179958.585850273,964334.250637414,139913.851195583,52077.3065776126
-570235.030581674,-544583.373950242,891138.278401316,211472.808838135,98021.3405729297,-252473.853347208,-275606.668309301,537207.119571148,120024.301543656,42970.3353789162
-503964.100114688,-562358.723788926,73455.5269438211,50791.6020358358,49503.7716578737,-189136.343033574,-267873.876176079,65300.4255295518,30383.8515867512,15501.3131287869
22589.6854513021,21270.6712941619,-94522.3908055516,48995.9414962211,39744.5058572847,-87445.9602618985,-101239.702528251,-1186845.89823511,143806.870601955,46889.0045823313
-1983687.66742714,-1085202.8549807,-171591.383266765,-74138.6975467411,-17630.095516328,656655.123260772,398095.970514409,81892.2585421242,46011.0481891375,24464.6357937029
3759914.19197137,99630942.5403442,-465898.714453872,-183911.177529405,-57395.2664270231,-843813.461469092,-22253798.8978892,119428.836996403,56936.183364224,26737.6429275121
-625231.127030047,-645139.292707771,417075.11603558,155137.034975059,95331.7234309196,-275702.071238464,-348608.016405114,340679.803995652,119172.032175509,52845.7336660426
-1440844.69470395,-1109665.14551841,-416359.435296553,-234169.598700349,-106661.057135063,331160.004932101,257244.072619218,102759.115425432,63750.7847386266,36047.8159453514
-13770.2575222115,15062.3285220288,286865.870254224,-385011.739747644,-43890.2840294996,-117668.275430665,-135149.794254966,-422619.546562065,542344.435635962,93115.2806232499
-56830.5195443781,-36228.7456749018,23783.1423571961,5678.61334018621,28960.3659239255,-70685.4766435939,-78262.2939894455,-227490.756891212,270524.837734782,49993.8266013148
-480580.9330466,-382444.394438372,-53670.1164817601,-22026.4359949464,10920.8141894545,-223281.23579084,-294086.496110072,363411.131318842,117366.528819247,46810.9297607413
-455752.518794968,-594802.678458584,906537.435234694,298521.342155754,143721.192099947,-190801.500423931,-249954.575984341,354296.430482904,110145.488897466,46675.1307464561
3409650.61246873,3777640.23320884,-718333.260191917,-285624.932108034,-100620.614023681,-2169499.42340311,-2310931.94883507,349920.322126975,136032.946484942,55001.0378735669
-46063.6047780686,-35969.6205170984,-38524.8680283245,-1129595.02429401,55791.0846458856,-69896.8155066562,-81903.2451806362,-192870.27647569,-4308594.22516928,104288.781608992
-465583.459567281,-543309.411613857,968007.342265767,256069.277525908,121912.260512531,-146749.257767445,-184888.105768977,356456.359104059,88687.4743302497,34102.6088384503
-442063.553259599,-691142.372969123,-37249.0988163607,-11438.3595188871,10008.563540034,-461391.088741787,-1463616.26424525,98045.8289380979,48246.5930688916,24479.1247831556
2374722.37205012,9144402.27266523,-677129.193284137,-306111.773575883,-119690.084217511,-504332.002361706,-1682804.64381657,94989.7777640366,43102.4508149864,19020.5864054846
-11564055.8744932,607398993.731536,1199036.09557775,566736.618314232,274924.113495648,-1361575.12405275,74400016.4379151,153984.404522357,72312.7326609174,32935.5306994414
521698.50734657,370869.457018962,124889.817882105,88415.4727855088,65698.3294939467,228409.482662626,208304.196739937,105288.541886233,69044.8323220492,38886.2464963283
-1900623.23499679,-1461533.56839723,-434100.487941829,-239697.369717404,-112558.134759561,544257.618096462,412026.334889042,123093.780703678,72463.7300675792,38762.2558299522
451494.025226469,1915503.63818383,-209352.01967879,-101729.497027297,-38507.4200155539,-328772.334620542,-1140175.65975682,90015.67928144,45192.8561151159,23141.0193401738
2639895.75336816,1238342.9082364,324708.167495059,211776.556035783,144590.659528497,200469.737940175,107946.251882371,38362.267836552,25790.7093699314,16233.3916185666
-376066.086847313,313058.616334821,-277731.882296555,-122811.217405702,-30985.6564516009,-964523.605330475,-1529926.97117931,285352.348067966,141172.07783357,71840.8241270014
85019132.5295498,9237554.19112925,1273150.70080805,698338.434106066,385342.271724682,7766503.41232542,904919.961176471,132880.29495242,72369.0845418103,38308.0325173785
98446.5527980809,146499.00499679,-2638357.17131571,-166919.830271406,-39068.0727630112,-207396.223714439,-225433.040624038,2425732.00764698,151092.657504392,47573.1390463197
-2172048.04497283,-2733340.82765947,583878.800551931,235917.03370068,113036.461997597,-311705.770968632,-431758.267978704,106006.04509329,42493.7586165169,17813.5627290288
