"Total Costs (1-year)","Total Costs (5-year)","Total Costs (10-year)","Total Costs (Lifetime)","Health Sector Costs (1-year)","Health Sector Costs (5-year)","Health Sector Costs (10-year)","Health Sector Costs (Lifetime)","Criminal Costs (1-year)","Criminal Costs (5-year)","Criminal Costs (10-year)","Criminal Costs (Lifetime)","Treatment Costs (1-year)","Treatment Costs (5-year)","Treatment Costs (10-year)","Treatment Costs (Lifetime)","Total QALYs (1-year)","Total QALYs (5-year)","Total QALYs (10-year)","Total QALYs (Lifetime)"
24341.3581283166,120351.595529313,223939.401265003,534054.00289495,825.496393465853,3442.50808535293,6814.61040058536,26461.7246238905,23515.8617348507,116909.08744396,217124.790864418,507592.278271059,9.07851476602888,39.605409153863,70.8616723788308,171.357561027324,0.579207692393258,2.6433681354344,4.79378534256147,11.6029634002004
22241.4460816207,114526.784929954,214893.03632641,516645.620758931,2021.2741701809,10055.767948097,18917.0165428704,48969.3757982498,20220.1719114398,104471.016981857,195976.01978354,467676.244960681,8.98429522495276,39.7509709508143,71.5203850190782,174.382634071565,0.595767732965152,2.71885485576934,4.93340756357041,11.9547761993938
21571.5433114712,86345.2532410855,153451.631732183,359749.372193715,1563.46886639262,5886.7909660891,10521.0321657885,30895.4035026837,20008.0744450786,80458.4622749964,142930.599566394,328853.968691031,8.68491244901992,38.6338861563601,69.4598416109181,172.506677196741,0.594806983710239,2.71871543765509,4.91655329049105,11.7801309312235
12473.1001102927,57598.5095780617,106458.875341339,264769.576844966,1134.93381506855,4761.35988915095,9140.04184845331,29675.2154912478,11338.1662952241,52837.1496889108,97318.8334928861,235094.361353718,8.66334548046204,38.1775886614121,68.5554697225353,168.674174549713,0.619796030142094,2.80552554615185,5.05701621155034,12.1267826802301
18732.0710992554,82881.8646676347,150758.680017337,360683.898163662,1608.02262520915,6357.62340279965,11447.6874071401,32388.9211896705,17124.0484740462,76524.2412648351,139310.992610197,328294.976973992,8.8800904759979,38.9825695970175,69.815755928606,171.963880592742,0.640482763427034,2.90258729673867,5.24594432748866,12.6071614924806
16456.5333598401,74520.6804642966,136716.951178764,330684.167126206,1503.89894717096,7272.29901142448,13847.1588339365,38802.5376582631,14952.6344126691,67248.3814528721,122869.792344828,291881.629467943,8.78214388925003,38.6660535954002,69.3223084081087,169.712083480786,0.58358609989595,2.67407299577267,4.85159069793399,11.7109029451753
17861.2699379496,79793.6034945214,144365.441020675,340123.319704376,2263.27546691656,9968.99032084075,18133.2934357617,45880.6964284049,15597.994471033,69824.6131736807,126232.147584913,294242.623275971,8.85145511786338,38.4820879651829,68.7460927379067,165.487841213655,0.634226443981703,2.86556417333334,5.17987688235736,12.4577129049556
20054.8420752567,99027.8723848113,184341.411492536,445141.330376155,1365.49220964672,7162.79220320169,13924.6886362439,40137.0173793411,18689.34986561,91865.0801816097,170416.722856293,405004.312996814,8.88618726266244,38.6526552224024,69.0090005542832,167.083597522192,0.63568234047246,2.9371894736218,5.34771553064196,13.0539106529397
28874.5537649207,134939.504180358,248670.951918875,592588.519617832,1921.31069079185,8317.32898254196,15881.6075315014,52194.7089458752,26953.2430741288,126622.175197816,232789.344387374,540393.810671957,8.77591915398995,38.9008895790048,69.9055167926288,175.440319694767,0.618621869726163,2.77712450784524,4.99028112453885,11.824439015363
20613.18075174,101247.892849307,188777.933755811,453178.479319651,1206.96083037248,6536.78917168558,12723.3808922743,35628.603275713,19406.2199213675,94711.1036776213,176054.552863537,417549.876043938,8.95991698918074,39.460885956827,70.6743766484316,171.539031712574,0.639163307634682,2.95927692430891,5.40160615262224,13.1502523288022
