"ICER (1-year)","ICER (5-year)","ICER (10-year)","ICER (Lifetime)","ICER (Health Sector 1-year)","ICER (Health Sector 5-year)","ICER (Health Sector 10-year)","ICER (Health Sector Lifetime)"
297236.806663519,264277.056151748,244349.74981106,457458.242536113,-4085.38946516736,-5157.31127753919,-5428.35598148421,-11382.9082575727
124803.757608781,146054.963711437,159135.490956893,309591.559699687,2357.9095800366,3183.03007897407,3889.81036963993,12068.2285027763
12998.5269833585,10656.2618174079,8975.95755769429,8243.15531070595,5087.07406057267,2258.97992980438,1247.29295411453,246.661682797482
208187.330329458,199129.043058586,192886.663864721,359424.386848087,33064.0249676116,32307.4213064644,31794.6005615788,60970.0924514459
-23176.5146437849,-22466.7158645714,-23564.1504498096,-47559.1094655631,-15652.9912219205,-17613.2866409832,-18977.1137272771,-34207.149688174
58072.1207408768,68810.6778919236,75790.6963642583,149784.451019936,14156.6842542721,15272.3674679614,16321.1109003287,33958.3241924734
33813.2902096738,40921.229350469,45508.2080237858,91947.3243290068,-111808.051433434,-124592.758039654,-134301.075136361,-264364.587741429
111490.739046056,130270.487584417,145663.360335746,255538.300225137,20873.2899811502,23074.2982176107,25439.9208555281,46705.1887299448
295327.71090605,186489.012049848,150439.913438912,276961.375177339,26943.4163360251,21304.6227650269,18423.905593057,34877.4611252656
168052.371700812,168895.938713294,170331.590408103,330952.248223533,9325.45326427481,9434.53902957886,9532.42689540794,17859.3498649807
-486470.410359886,-382515.983929232,-330787.298391745,-675773.740631087,162748.495999012,102651.012663493,80462.6935559634,148861.945490996
317688.653423333,299800.580848109,290137.39687402,540171.242563439,-10852.4074598883,-9948.8631725779,-9640.63785473801,-18431.4682078234
70578.7954191127,62765.9734702166,57280.2650517857,104852.205812527,-1362.41146757998,-1261.28315780988,-1190.68147503532,-2449.8352385052
48450.8525525085,52779.5018576307,54415.9135780009,96061.1828020195,765.325767974843,2272.52047858073,2784.00754387539,4429.01292386922
145127.379753215,182173.175268087,205498.995401344,395782.311614221,10819.2600289662,11976.9718459164,12932.2506881426,26524.9819610258
61463.5940603964,60680.8883235853,61060.3050480702,121368.106994825,13924.9480805944,12345.7080463675,11664.2434018421,20523.9856131457
236067.922867115,228667.212462312,225138.544099487,438164.045264416,-40808.4007378202,-39590.777796293,-39091.2441635428,-76270.4413321568
249723.388658365,235015.733836961,226303.926403993,449178.429332425,3830.19291300509,3567.68314013382,3396.10415814431,6260.35921303038
128575.49158625,133390.949277193,137090.391345416,266425.287522326,-5378.47474437785,-5640.05319838737,-5845.05902945176,-11965.4945693476
145012.554978978,138547.757007244,134999.356385665,257520.861225519,-238.212600949223,-344.0917142694,-398.853121225249,-1107.08017814496
110670.688118814,124104.528522934,132476.563252961,258084.465009445,-40147.9872097856,-43069.1103319232,-45234.5666851549,-87977.0649703743
57055.1318056092,61154.8890692841,63309.4761096551,123467.84131077,-49156.1434597033,-52386.5326561012,-54486.724823287,-105297.304351751
142395.619206399,130607.714977668,123275.082626341,230324.379278381,37874.1565083431,35232.556856529,33629.7461103675,63858.268804012
-10688.8829524617,-8569.08201914018,-7983.67829711453,-15823.6026021217,1196.46629604052,1460.0600435044,1564.75444722405,3119.67223174858
195089.769896921,170098.712451195,156869.738306385,299505.373323236,2949.43305515583,2148.17738251719,1744.06493078953,2137.41620355749
114176.01336699,100147.199791142,93600.1168536825,191006.886047622,-4525.88262473313,-6994.94836499654,-7779.3504900522,-17528.4182309518
161832.808033317,155519.888338511,152227.586655667,297745.790237765,56838.3543071344,54549.6750392317,53244.9401791617,102898.149102545
792845.755981823,661589.316486073,579462.914435886,1113207.97813446,42130.4028922474,35837.7207645552,31599.0965692676,58982.1556018533
227824.363503793,232660.879859726,234830.741096411,415599.740821897,-617.051401932302,-689.218064230982,-755.767292716985,-1559.3595359729
1041239.94234548,970211.021198408,914992.803800355,1811126.71787395,7556.24489900079,6255.00648299924,5433.47392454281,7432.16195374232
48677.5475151797,53325.4455536198,55710.5024424155,106122.247953268,-2905.54400180678,-3280.48590128937,-3482.06787624064,-6663.18401360883
-433107.214454888,-937655.267178457,-3974566.28900283,-8394168.42157637,-994286.528348355,-2023933.22560857,-8246380.42458332,-16039109.1059581
-2171.94896639674,-1974.98613554387,-1817.55853630583,93.1583593691119,-5358.95896299901,-5858.57593615231,-6239.74726536269,-13091.1753729003
9789.69017504215,11945.8451966207,11997.903921626,14505.7235871149,17833.5429939263,18151.6086644737,18423.5797675043,33073.3261294404
157522.699017943,217381.213373669,296389.367693602,530198.073392513,-52040.96432865,-69943.641688139,-94764.4874971576,-177920.939941893
221705.985574732,196330.549726281,182157.345792718,359802.570193402,2523.5907985508,2185.98106182565,1925.11846638961,3019.0733737821
-77720.3712578023,-77584.4328824065,-78536.1523075944,-149315.259932034,-20773.5085425525,-21454.4705678079,-22012.1304937679,-40813.4782477795
-42873.6305362193,-58969.6118205172,-72702.3673042091,-158215.850324198,25701.4009572341,28994.3004881463,32855.8303125586,62486.1590791547
164879.962523297,171761.134288771,174946.166214883,341003.793545938,10497.6012496021,11072.0149747483,11226.5666357412,21477.2042497362
-15143573.1973279,1415162.48769095,771195.383876147,1506244.79491786,-570569.601640364,50303.7043752638,26832.7047272693,48456.3065562379
90622.3307725499,91822.2486059668,92045.3813021318,185678.590336132,15306.7168810777,15196.7926233478,15106.1157301903,30375.4219160426
