"Total Costs (1-year)","Total Costs (5-year)","Total Costs (10-year)","Total Costs (Lifetime)","Health Sector Costs (1-year)","Health Sector Costs (5-year)","Health Sector Costs (10-year)","Health Sector Costs (Lifetime)","Criminal Costs (1-year)","Criminal Costs (5-year)","Criminal Costs (10-year)","Criminal Costs (Lifetime)","Treatment Costs (1-year)","Treatment Costs (5-year)","Treatment Costs (10-year)","Treatment Costs (Lifetime)","Total QALYs (1-year)","Total QALYs (5-year)","Total QALYs (10-year)","Total QALYs (Lifetime)"
21517.2603479925,104083.74571128,192670.961416647,463762.824636744,7233.61732759425,28065.8505291176,47919.4749768879,109231.366223382,14283.6430203983,76017.8951821621,144751.486439759,354531.458413362,8.8988182054248,39.4212019935157,70.9502178196188,175.241944759501,0.592633454079352,2.71677579351202,4.92551280056526,11.929840840546
21888.0687828002,109221.229948275,204966.994980703,490489.844775187,2886.39601617857,10438.2898920304,17579.8164498427,41479.5339328593,19001.6727666216,98782.940056245,187387.17853086,449010.310842328,8.90117027612,38.8591900215872,69.3953883516358,167.562979008907,0.592544373769644,2.71504498105343,4.9300161168807,11.958830356822
17684.066492652,85010.7103910081,157722.673945934,381752.847300375,2441.81277448772,10418.5742118719,18712.0122182445,46991.7536279532,15242.2537181643,74592.1361791363,139010.66172769,334761.093672422,8.94258939843672,39.8696190415648,71.9744379736492,179.379026835426,0.574704303697189,2.67702958409715,4.88027819597241,11.8259707337515
24829.1229937066,118667.330324601,218734.64099085,523418.221430538,2516.74374148739,9299.46415908869,16864.3205211732,54568.465762376,22312.3792522192,109367.866165513,201870.320469677,468849.755668162,8.74440386257364,38.3260150147851,68.7895730309867,170.292294804044,0.58394860025045,2.70532193482882,4.93139868466106,12.0158652153866
24684.6226833308,124880.760983097,236582.789208927,577618.370601221,938.763585042417,4756.91872813983,9487.57469252418,30832.9394997003,23745.8590982884,120123.842254957,227095.214516403,546785.43110152,8.68562441699458,37.7605914599268,67.213290632958,161.238373026706,0.586102925424341,2.71676222321737,4.94467201655221,11.9058211873294
21537.4060676118,101555.918549434,188501.527362451,452364.27565474,1896.17437045731,8503.95326601308,15609.5078063854,41178.6917488629,19641.2316971545,93051.9652834208,172892.019556066,411185.583905877,8.75512338583435,38.2913252000192,68.4126877573811,165.015099419654,0.603363663600495,2.79620358347257,5.10086884715259,12.4137887679784
18798.599825265,102762.610767261,197930.884894283,487662.739106765,2279.0972267323,10794.4709354436,20188.2696154156,52657.7341652508,16519.5025985327,91968.1398318169,177742.615278868,435005.004941514,8.76224316532245,38.5289181958827,68.8736707542753,166.94443593572,0.547995112765984,2.54856747054001,4.63809560259435,11.1351420876857
15211.2786730047,72934.1305390582,136685.97889269,340623.71936382,1230.16164975459,6452.59272529808,12546.3085542397,35055.64422486,13981.1170232501,66481.5378137602,124139.67033845,305568.07513896,9.03357111231097,39.8919959369932,71.5626118002915,173.887499745002,0.565823156083643,2.61609277701362,4.75906321087924,11.521985441588
19073.8275179621,100389.891753085,190649.852772904,469290.553978585,725.977267381327,3007.47525981448,6000.90108818392,23937.1722720475,18347.8502505807,97382.4164932708,184648.95168472,445353.381706537,9.02857355895537,39.9784218012346,71.9243633725128,174.869278610511,0.537001185864292,2.50669558923004,4.58459537310886,11.2544031961567
21853.1716296176,113434.885357383,213412.25653138,515285.7326631,1869.31996062341,9824.30036011317,18711.2483902176,48928.6835786457,19983.8516689942,103610.58499727,194701.008141162,466357.049084455,9.00988273355863,39.7778866906027,71.4863966026756,173.800118221063,0.565897082813779,2.61638932036112,4.76843577248153,11.6248057465654
