"n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr"
2662.24400544148,5400.53689210018,2921.45332176413,-1936.18235958211,-3291.08449850207,-3849.35327415133,0.002729250369915,-0.0326678588650728,-0.0766622078779067
25421.6697738998,42926.1646523273,37749.4394252114,1075.42147885517,727.353871884425,89.7170470742931,-0.00431454063836334,-0.0753475064100844,-0.157254955670351
13900.5371914392,22654.8980823947,18474.6579744777,2264.89024830795,3256.39037696724,2297.90863304827,-0.000221334404351903,-0.0511697496486514,-0.109259701487714
10881.4304096867,22259.436427854,18855.4859931609,-1535.06489515254,-2734.36914722318,-3555.08262358641,-0.00428974516098868,-0.0732459806718846,-0.160780775641734
8340.48280096779,15325.6348673957,11066.9797803416,-2241.71480074656,-3882.84294251999,-4531.37547338374,-0.0089917641124434,-0.0629828506313443,-0.122705427932591
13757.3016692957,24209.8490136139,19615.9871003209,102.330810420929,228.191939871111,-319.818751651546,-0.00403107102629019,-0.0793731836195484,-0.166536463357288
19666.643487653,30305.7760505749,23432.3367135568,521.257168089141,-140.981692135661,-680.982286983628,-0.000195307275659085,-0.059196381418912,-0.127059061649044
1681.0982371379,6244.01350442928,3856.23825288389,-2475.28383208827,-4369.50413627956,-5008.38841170151,-0.00870817636312049,-0.0543690520790041,-0.107111594738147
8105.62821317944,10817.860855904,6825.55062017875,677.432715718558,564.957792267269,-94.2835662555444,0.000323860327859693,-0.052277702313221,-0.114935345650496
10346.3640466296,19153.3647596819,15732.5116310434,-2124.39183697763,-3617.28089289499,-4114.40942486039,-0.000707973742010926,-0.0384324704641283,-0.0830128550690166
8489.01896652662,16644.4335253031,11554.2585078566,-1530.46499745634,-2848.51992358848,-3411.41459305874,-0.00194112712682559,-0.0627709272967194,-0.13156318485679
3983.40107610771,8255.47504076094,4155.7512230876,-1187.89916453924,-2096.58098436076,-2772.61389194655,-0.00809985503716426,-0.0725009780727159,-0.142148783056049
17372.4365989336,29953.4246056916,24762.8366897665,-1018.64294108319,-1965.65829712849,-2796.69872181255,-0.0206112967352482,-0.103910244119503,-0.194756508610299
5471.94715455143,10227.9538949037,5154.74972852308,-590.711394903261,-988.781128979019,-1597.2814235958,-0.0128093746406331,-0.0835276109655827,-0.155121183840306
13370.2024891136,22588.2137742538,16295.3973524981,104.198844024762,81.8929457713602,-923.524330747547,-0.00590514139862253,-0.0711320280973107,-0.142616488887264
19822.3676846616,35462.2685753853,30706.990226537,2667.99174514703,2790.83729488715,2213.61761068022,-0.00569201631371663,-0.057290060831118,-0.113763642343783
6069.6642361388,9603.47645316334,5441.94608982041,-2935.0116553334,-4995.72824416911,-5930.25693872135,-0.00851515808282155,-0.0615707647908366,-0.114384441538336
20756.5749327928,33595.6439076218,28177.2433911933,-413.110502160987,-1524.17116946761,-2362.23228194919,-0.00852402966252985,-0.0837100088024809,-0.170334053355346
294.289370282328,1177.74019123617,-2285.8245480957,-5829.44468857034,-9854.62904973941,-10960.6403830593,-0.000859355429643771,-0.0425877318837293,-0.0909937700781436
12854.050457262,24881.1446774908,20460.748404296,-591.397332757811,-739.307849196513,-1291.83201371739,-0.0114034712456604,-0.0751278119270395,-0.142877202228251
9526.83840082817,21241.2324794811,18524.4057806241,1009.37352775275,2265.37216903961,1394.01331787487,-0.008466956719418,-0.0854472328400764,-0.177057005318537
10182.0664174723,19869.903596133,14918.6570668759,-522.406996355417,-1257.71182801016,-1908.52880569237,-0.0140615976958396,-0.0886364668329129,-0.166065968326626
3321.24250340311,6577.53606766029,3352.1006053976,-1361.67122566063,-2371.05711508646,-2956.06133149459,0.00413724153794781,-0.046555335842541,-0.107399109538576
6682.94354331697,13630.249594126,10783.3359757509,-3627.41648998597,-6769.07433839943,-7763.46451099268,-0.00410378888695917,-0.0423246738190546,-0.0912503300891059
672.332411321411,2188.35377550672,-797.40039037657,-920.054047046124,-2066.63374385958,-2739.20366608103,-0.00441625577950699,-0.0535817182535707,-0.113366990784026
8935.34006586685,16302.0777928052,11917.2776701287,-4525.27380276495,-7828.62749110878,-9326.42712627529,-0.0159941262176821,-0.0813027624181544,-0.15102303513332
