"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_TOTAL_costs_life","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_HEALTH_SECTOR_costs_life","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_CRIMINAL_costs_life","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TX_costs_life","n_HRU_costs_1yr","n_HRU_costs_5yr","n_HRU_costs_10yr","n_HRU_costs_life","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr","n_TOTAL_qalys_life"
70536.6347936911,366941.705937282,644951.394204072,1181233.11870436,5888.06306901924,24895.2045517186,43392.3207974569,91824.5971570544,64648.5717246719,342046.501385564,601559.073406615,1089408.5215473,2366.2884544041,10329.2281101833,17930.4222560332,32532.8439298816,3514.83010561398,14529.2173069999,25388.8514799466,59089.5983455498,0.683330802035811,2.9346976479941,4.98467860013087,8.79617204916745
51211.0055493039,246623.110377309,417922.393876788,731243.930996876,6467.83551667244,31630.9268683986,54953.0460029822,117084.951088546,44743.1700326315,214992.183508911,362969.347873806,614158.97990833,2957.39152946449,15992.4573830215,27791.5013971076,47601.4898014949,3503.52411053511,15602.9485143605,27092.0593617571,69269.5218353129,0.64107580588501,2.67519905533577,4.4210593189903,7.41179277417352
78861.9204572318,416157.395067993,714308.566945072,1218678.90865688,4739.5205369413,22590.4084344206,40346.0618596354,98309.8222519446,74122.3999202905,393566.986633572,673962.505085437,1120369.08640493,2251.78447681672,8865.02826941717,14851.5009208203,25171.5218861751,2480.81701310134,13689.5122459544,25423.8636962145,72927.9392560488,0.643190974943268,2.70301376682585,4.46282058220262,7.32249733660228
67796.317427223,319301.35637008,545036.259430343,968515.746907466,7556.39454547628,37596.5163261946,66284.8985762888,139867.630130895,60239.9228817467,281704.840043886,478751.360854054,828648.116776571,2892.49213415585,16098.349468459,28548.9043756937,50556.400764779,4656.96124301655,21461.6265324227,37663.1973320116,89088.3858663938,0.676828010071127,2.84841184777956,4.75328930467889,8.10597679297453
76868.0547781851,391643.4896333,672535.610182711,1170231.11751291,5420.40975847983,25787.7861775931,45964.9836832706,110558.584522051,71447.6450197053,365855.703455707,626570.626499441,1059672.53299086,2271.40390413671,9627.46068168341,16353.0549883873,27946.29131285,3142.15942708746,16125.6903506942,29544.645869305,82416.1896752863,0.673785944830492,2.8686145850207,4.78765930910365,8.00034715655189
100209.818909514,510816.834822686,893515.740516272,1627235.12376215,10811.0806088638,55794.2613304502,98608.9738430567,192901.471044859,89398.7383006504,455022.573492236,794906.766673216,1434333.65271729,2554.43322385952,11983.4804190218,21003.8829786473,38194.0020064618,8249.74402019807,43775.0039795073,77534.5730257877,154511.639475643,0.654770004512111,2.82778275383856,4.81124329698651,8.53208933185715
61221.9613840401,286546.029275892,499316.846801419,953657.446789715,4110.46456277557,22935.4804233602,42076.441216895,92101.5256642691,57111.4968212645,263610.548852532,457240.405584524,861555.921125446,2783.26304070284,15081.4940630821,27445.4450743005,53152.5883223344,1320.30758084584,7818.22710610568,14560.1706052643,38749.6901142812,0.634526540959233,2.71610406481712,4.6637331377446,8.73232566267205
78185.0301912686,377879.740447481,649073.069179537,1170849.01240806,9771.09919181934,34756.560349066,59044.413002339,132522.170155071,68413.9309994492,343123.180098415,590028.656177198,1038326.84225299,2571.83614712271,12803.092467127,22908.7699139167,42194.9050075698,7192.35807851261,21918.106034811,36066.0881685319,90119.624888672,0.670283352684357,2.85228975516125,4.81371085593244,8.43008185518312
55244.1185535743,270258.818863201,468259.733957002,844126.70760935,6285.87590169581,32737.634458012,58818.4388154737,124959.143856632,48958.2426518785,237521.184405189,409441.295141528,719167.563752718,2781.36535457515,13466.6381376691,23584.0051628841,41985.4914410297,3497.62775254085,19235.7679924854,35165.1785126155,82769.6592370867,0.662143217522271,2.8276814736929,4.76061443213685,8.22715845279495
78266.2942910032,401819.151969151,704173.399228905,1292978.84071549,5471.45185619689,22765.2231755564,39949.8352354353,88408.3451287902,72794.8424348063,379053.928793595,664223.563993469,1204570.4955867,2376.33905457539,11027.2448576549,19483.0235626966,35689.2594116996,3088.22062534087,11702.6267201964,20397.1388174224,52521.2504444477,0.687500278743179,2.97227072774989,5.06621835232467,8.95094430244386
51659.2948610464,261828.426666147,456524.466481858,835685.353739932,5966.10047660143,29753.2944787083,53060.2839863284,113981.460052349,45693.194384445,232075.132187439,403464.18249553,721703.893687584,2433.44002809944,11936.3653473,21252.9226585285,39614.3255532798,3525.74087623516,17780.6868200632,31735.5234938296,74154.7862199474,0.696628654107146,2.98932471052786,5.06259206680549,8.93233532966643
71843.452698514,361324.843052526,629302.547526148,1161770.92634054,14268.7026261546,75652.8675814335,134371.865035356,263385.638571532,57574.7500723594,285671.975471092,494930.682490792,898385.287769012,2665.09698082375,13638.8838778367,24496.5962613017,45669.352007927,11596.7309302135,61978.813135709,109806.134191795,217515.853334459,0.71936826535954,3.11256503263454,5.30419341125751,9.4679842138475
49162.5672999648,255103.751262589,446327.200439651,817771.385668405,5307.3624985016,25177.1210580799,45033.0807686076,106552.634171528,43855.2048014632,229926.630204509,401294.119671044,711218.751496878,2479.32798419335,10768.7587304295,18563.3856687238,32888.6615531963,2821.10261142739,14371.9885341707,26397.5125959563,73455.2705440452,0.668008020350574,2.89146271764667,4.88854892030978,8.461828115492
68341.9105633054,358321.325562464,628728.287979135,1160019.09734414,5062.59344914715,24953.3271371215,44893.51402042,100006.513008043,63279.3171141582,333367.998425343,583834.773958715,1060012.5843361,2837.00810689394,14482.469489036,25891.8573683625,47630.6204120681,2218.64376563855,10434.2416734853,18928.521751645,52162.5331626732,0.667618500064357,2.87896962271835,4.88937548022684,8.66884206126902
47631.3620484254,219526.13051273,382131.747843128,723529.914462469,5189.34204074244,29682.7038672728,54901.46267479,119719.285650186,42442.0200076829,189843.426645457,327230.285168338,603810.628812283,2684.80618939414,13307.9428767839,24022.3668443896,46312.1323798678,2497.6389352945,16338.8961148683,30807.8695718975,73206.5617479534,0.669783266508742,2.90512045181799,4.99364047947583,9.18162995476526
68355.4819223587,350604.868906174,607769.468133243,1082179.13844153,4972.75984547935,22163.0702853577,39270.917981722,88371.6491019777,63382.7220768793,328441.798620816,568498.550151521,993807.489339551,2300.66352046518,10637.4369526368,18550.6277161659,32975.0879359504,2665.09325000719,11488.2477153337,20645.7706806841,55178.1274168321,0.60058272591851,2.52251000136275,4.22682335715291,7.37065056225269
75663.4760405734,349286.728115291,577761.959036499,950270.515601686,8315.43205492027,37999.3062553364,63424.9769138651,121923.965839091,67348.0439856531,311287.421859955,514336.982122634,828346.549762595,2335.00114246435,9659.17020523324,15879.0215295599,25632.3240884927,5973.44264592279,28303.4932214471,47474.6136922097,96079.2910919013,0.637987395768154,2.62414459393159,4.27855767012811,6.96253094342632
