"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
-1878970.57769891,-222141.884452673,-80636.0531256949,-2316.63268699334,214551.401925414,21889.9897030371,15216.5183801606,12711.8278618595
-504609.766104692,-164151.012871563,-64820.1027585749,8623.02739640124,-75857.5260487113,-10982.6172331674,-2161.54912048245,3764.25909783506
-1989858.52099528,-406946.948526966,-180443.47982817,-42373.4672678762,186248.966059811,39825.277145409,27128.9106268257,20737.0334694407
3451443.92117366,-410641.270223227,-149386.125932364,-9532.70163441364,34736.286735763,12006.7989385976,10055.4581201001,9016.19252076701
-212646.181641188,-92937.8878211907,-31525.669369961,15648.6480500677,57284.5510673867,22586.2197806974,18018.392607524,15443.6205541832
-118022.086528918,-95091.277320631,13716.1156756747,77820.2855103566,-387918.393862428,76609.0950275638,37197.4351865652,23279.6345554982
-1998551.93505851,-274709.169584139,-108835.074845393,-6246.84702814082,40030.6740341567,744.382946133302,4638.3187554311,7921.0025647299
-1085328.0994685,-256480.374993302,-86780.1966445173,16027.9956096652,106899.27770336,22461.8467635817,15121.1897185089,11592.5729978017
-1464897.79360396,-597769.732073378,-301501.561712993,-84329.0717911183,-7686.8888069546,-11142.1148791716,-646.287239437364,8419.64521295566
-1007905.31944667,-337081.221625021,-186022.054647083,-62098.1788822061,93986.4459431611,24966.2710656303,17520.8570507852,13397.6329863669
-2835622.84892285,-488124.934718327,-220492.473141085,-53945.3378592356,-528896.278869145,-51906.3384062793,-22691.7394059842,-7334.72594175593
502914.048687636,-391637.048288747,-98238.1373172561,9142.64642434394,-370888.545524934,240308.907860906,93138.4005076702,48099.1365357146
-2099998.21253857,-562479.49086337,-269796.840541582,-72124.630794242,57007.146518548,23921.8264210033,16539.6058938381,11527.328829493
-328213.720195059,-102838.191643337,-27324.6299310097,25886.2246573251,771879.804267646,166193.102551678,97769.4833792703,57998.9406680387
-3127476.50384353,-429464.183422718,-184108.041792588,-38032.5130941457,-425775.277701539,-70370.0294172511,-29416.4957052399,-3810.48314573403
-217343.356930371,-149316.308221187,-75618.4228416814,-10947.5876729434,29106.1339885216,16327.9637870595,12687.817509848,10151.443183837
-6466816.95743831,-490200.732910027,-211114.87510116,-43805.4957900095,670958.906192112,33711.9449589949,19613.1933890499,13275.8461912071
-468690.157289079,-174793.622373666,-85559.2861920242,-14841.3614949539,90611.6010266545,28834.4822948443,20233.0748109019,15891.9401631165
-2892022.77581353,-383613.314194976,-161513.643384063,-17142.7491927342,1011153.61821402,111992.895022301,65913.8885055621,39755.9873256454
-2910535.15987539,-302128.645411224,-113289.43559913,-11265.6519293482,126148.198840922,22190.5737109448,19115.507756682,17304.9976926926
-471760.506225061,-296062.55250752,-140313.175503777,-7887.55137615664,319019.651528625,121966.88933048,79454.3439879862,51963.1948706623
-2113097.95504427,-524486.618512237,-230207.864131774,-58096.7967132887,46279.6348687703,15204.3785263188,12239.215850574,10820.4460750324
76414.1744957649,-128578.20631964,-40852.2474162574,16505.0500081261,-320340.076885886,46214.2398400837,23107.8036151335,12980.7257586218
-1593830.73015572,-332351.349325162,-132064.302449349,-10022.810183568,95666.8578360527,9568.65452339939,9635.66089671776,11423.9243118879
-1651707.90096731,-221548.252891361,-70676.6345131625,9812.1742781027,-108864.18210981,1254.61054847725,5528.74330739635,7607.60633228666
-592917.532792958,-240912.969484942,-113546.990530401,-17276.5389111255,-3792.11530737686,-3024.1577609535,2803.21433946247,8338.05488934881
2454888.14802379,-508354.440479278,-192552.666832956,-39548.9135218872,-374366.668256049,62616.4271440692,32807.1046514113,20851.0716416999
8980149.54876585,-246446.410205213,-91633.8791286428,-16324.2837784466,-690381.959193585,12826.0767959071,9970.7361482696,9481.80549037096
-575921.160028077,-160107.326116449,-40123.8909674365,36356.7568994839,423551.890050291,66591.8379368195,38650.8334220464,24964.3765727537
826077.32973248,-214399.381814365,-60022.5320887903,21551.8588322657,-308476.633841216,50821.6509086612,26010.5683330564,14947.6814841158
1782567.73375918,-243470.186175287,-75244.7104008178,15453.6060838011,-694278.007099496,65174.6938578747,34538.1510666165,22908.2856348727
