"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr"
55349.9602590571,283042.962611288,489715.11616497,5429.03360589087,21787.6226714394,36783.4951341737,49920.9266531662,261255.339939849,452931.621030797,4631.78923187488,17831.0445088839,29014.0473811238,0.686458736152587,2.93788074686886,4.85941139663872
51180.1692348679,239797.51122728,404356.396284168,10575.580636894,34638.4693308603,54929.3906595516,40604.5885979738,205159.041896419,349427.005624617,4099.28828065739,14967.1133925687,24056.9361313062,0.653499267818171,2.76171206616495,4.52508747538589
59866.1388994126,312350.176652804,543062.228870552,5477.13338716645,26973.5346977138,47992.3314409116,54389.0055122462,285376.64195509,495069.89742964,4367.35502970661,16647.2146964085,27159.6664761131,0.68237291392308,2.91394252703884,4.84224863822944
39225.9893354792,206089.060394636,365588.687542968,9487.42883413968,45202.5290536444,79042.0984669203,29738.5605013395,160886.531340991,286546.589076048,4736.66801579876,18296.1071159354,30301.7464768178,0.659913692038627,2.85101872452821,4.77661601958494
49687.3553340157,251640.883820184,434310.006881509,5065.60429932502,20918.3075741168,36300.3874829439,44621.7510346907,230722.576246067,398009.619398565,4516.30139507307,16922.2220300432,27207.6129227485,0.632969369767458,2.66655724362775,4.36677255991317
38538.4513782931,192312.113394395,330566.972057007,5069.05640856656,20568.7132998622,34696.5124009494,33469.3949697266,171743.400094533,295870.459656058,4489.8747022571,16832.1521114507,27226.5453498023,0.671756518429453,2.8636516730345,4.71949978974149
61607.0100410192,306062.013880345,526465.647544042,8422.31056348765,30084.0754366866,48858.1790715651,53184.6994775316,275977.938443659,477607.468472477,4678.84264688502,17497.3291855134,28218.0304989042,0.666379366253906,2.8404460920484,4.68820963292816
37769.0792698584,178661.029463403,303158.812241614,5614.85249884434,21694.385924885,36092.5560330092,32154.226771014,156966.643538519,267066.256208605,4401.82220939615,16166.6820766956,25836.6535594134,0.64372505775158,2.74124304825305,4.50646677707958
54894.3041953625,271266.96504259,465247.001367117,11020.8899924175,42933.1395172514,70743.6646938331,43873.414202945,228333.825525338,394503.336673284,4592.51465623308,17427.0868869808,28181.366658769,0.668332535487488,2.83160648581903,4.66620453540137
49490.9154368201,247737.597663173,425812.225153115,5062.62745111469,21438.8738932804,36797.1022811959,44428.2879857054,226298.723769893,389015.122871919,4625.65098414878,17561.4696060906,28369.8724995665,0.666378929009883,2.84393800494351,4.69408889230726
54945.0534876181,301426.981608269,542221.705732181,5325.49041605221,21230.0614798628,35987.4126604225,49619.5630715658,280196.920128407,506234.293071758,4392.47775181454,15619.9983520135,25308.9637107466,0.663489024132975,2.89847573726296,4.91477926209171
71181.776009204,376921.880777002,655846.847623257,5725.7922859856,24325.3460634642,41863.1677329982,65455.9837232184,352596.534713538,613983.679890259,4120.64790858595,14769.1261539201,23812.2937542926,0.632088003475337,2.67004754759011,4.39651852742337
