"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr"
61160.645031393,319119.655002204,554936.054227379,6771.63951914682,33743.0130471144,59866.1567977385,54389.0055122462,285376.64195509,495069.89742964,4367.35502970661,16647.2146964085,27159.6664761131,0.673060435925732,2.88362653080528,4.79535165293706
40106.3936191035,211284.382600135,375006.591032461,10367.833117764,50397.8512591433,88460.0019564127,29738.5605013395,160886.531340991,286546.589076048,4736.66801579876,18296.1071159354,30301.7464768178,0.650023440924303,2.81602783126851,4.72085252810409
51502.1734533958,260867.178516247,450387.932671566,6880.42241870505,30144.60227018,52378.313273001,44621.7510346907,230722.576246067,398009.619398565,4516.30139507307,16922.2220300432,27207.6129227485,0.62387175591617,2.63653788309581,4.32071954633165
39658.4886261449,198692.864372332,341727.788165679,6189.09365641834,26949.4642777988,45857.3285096211,33469.3949697266,171743.400094533,295870.459656058,4489.8747022571,16832.1521114507,27226.5453498023,0.662546872692044,2.83176752557284,4.66935513768558
63334.567882895,314862.798008178,541715.507710582,10149.8684053634,38884.8595645197,64108.0392381054,53184.6994775316,275977.938443659,477607.468472477,4678.84264688502,17497.3291855134,28218.0304989042,0.656950957923573,2.80799525251013,4.63741083336664
39277.0694268349,186562.438520208,316679.932796272,7122.8426558209,29595.7949816895,49613.6765876668,32154.226771014,156966.643538519,267066.256208605,4401.82220939615,16166.6820766956,25836.6535594134,0.63494140203923,2.71135273302763,4.45992780596102
56755.4915165634,281337.034255837,482661.782372815,12882.0773136184,53003.2087304992,88158.4456995309,43873.414202945,228333.825525338,394503.336673284,4592.51465623308,17427.0868869808,28181.366658769,0.658645604966338,2.79743362668669,4.61230765150554
50675.3085493392,254321.095269115,437429.998670425,6247.02056363378,28022.3714992228,48414.8757985055,44428.2879857054,226298.723769893,389015.122871919,4625.65098414878,17561.4696060906,28369.8724995665,0.65663126387788,2.81030948277561,4.64148856791497
55651.8900612114,305634.133403007,549941.335731087,6032.32698964551,25437.2132746008,43707.0426593294,49619.5630715658,280196.920128407,506234.293071758,4392.47775181454,15619.9983520135,25308.9637107466,0.65442119247665,2.8685661625577,4.86773809592335
72065.3076149305,381982.399729878,664636.81931971,6609.3238917121,29385.8650163401,50653.1394294517,65455.9837232184,352596.534713538,613983.679890259,4120.64790858595,14769.1261539201,23812.2937542926,0.624132928235769,2.64408695907071,4.35601284267349
31348.7574216843,153935.427236679,265332.623327804,6863.84023858737,29400.0491029043,49984.828558881,24484.917183097,124535.378133775,215347.794768923,4653.67625457254,17935.0542802868,29129.9057804328,0.682748265521073,2.91384761280853,4.81290596836559
57010.5428653335,283340.041009924,485095.743181358,8074.38356882149,35781.4889864644,60681.4056663228,48936.159296512,247558.552023459,424414.337515036,4547.46890632536,17276.0814129424,27867.7497903701,0.634543330893224,2.72832933058183,4.50321190887912
