"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
-3013261.1189952,-4552133.37216351,-747650.179123282,-370052.646567965,-157213.677430089,1240076.57727003,1724685.5739594,232387.966233438,115280.747725635,53628.2920692244
-122691.088961732,-150107.679054714,-588287.91562232,572388.338705271,145054.518141175,-131768.180353793,-139283.743871709,-410799.277042472,354360.256599935,73459.3516823828
-154574.629946521,-150734.152092216,-90322.2913581209,-55116.4453394976,-18840.1779623662,155941.990263186,130310.590110387,55391.8479972668,35971.7340926631,21230.1978369748
-302295.272306528,-191019.711592353,-100715.071279741,-44171.5814929868,-6546.65698367836,-431221.84940801,-928508.061237385,209757.686783826,103054.285495995,51067.7622584599
-262750.295307109,-357956.964948054,637426.967678255,196321.271866196,96838.8641629954,-153834.694788749,-195832.878055993,294921.164330098,82801.4518441586,32948.1745023144
-5042819.88856318,-5640066.30150141,3222146.16667841,1054957.34489712,399026.37014044,-718757.888719653,-842980.307582401,512289.929542966,166617.9112798,60208.1034597703
-249686.809006006,-230910.062121316,-94014.5058322763,-44819.2884149019,-8237.27561122843,422923.518275326,335705.610233995,124921.643372775,73767.0466312321,37487.8005427467
-387474.772529494,-397578.819499338,-698505.738560116,-28147165.0731344,318752.617985794,-107048.641507554,-112882.901508041,-199645.730018468,-7801069.04342519,79136.1177208069
523808.402748863,549855.452115682,1668068.91450623,-1531913.22753524,-262224.480907492,-143235.203007358,-159220.907981233,-510960.591251823,482615.314811311,89346.5043758399
75247.5030374783,94344.9170160625,344809.016838316,-187026.369645021,-25736.5162910674,-59819.6513863561,-70870.8647086415,-288004.333888974,186615.103862123,44606.125549636
-9075776.56407243,-16083572.7688086,1442453.3978173,661802.102278337,333284.788927305,-1156311.7187977,-2183818.86402465,215042.004587674,98500.7132630517,47304.2772162826
658215.295269457,83581.3112752519,-64583.366066084,-30400.1321998165,3160.57852984661,679011.981130935,294709.904610355,74126.6796382653,44926.1117813558,24994.0661787271
