"n_inc_costs_TOTAL_6mo","n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_TOTAL_life","n_inc_costs_HEALTH_SECTOR_6mo","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_costs_HEALTH_SECTOR_life","n_inc_qalys_TOTAL_6mo","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr","n_inc_qalys_TOTAL_life","n_inc_costs_TX_6mo","n_inc_costs_TX_1yr","n_inc_costs_TX_5yr","n_inc_costs_TX_10yr","n_inc_costs_TX_life","n_inc_costs_HRU_6mo","n_inc_costs_HRU_1yr","n_inc_costs_HRU_5yr","n_inc_costs_HRU_10yr","n_inc_costs_HRU_life","n_inc_costs_CRIMINAL_6mo","n_inc_costs_CRIMINAL_1yr","n_inc_costs_CRIMINAL_5yr","n_inc_costs_CRIMINAL_10yr","n_inc_costs_CRIMINAL_life"
-8496.16363743632,-18150.9846381357,NA,NA,-18150.9846381357,-845.403898237513,-1716.11572063972,NA,NA,-1716.11572063972,-0.0405312221043327,-0.112275927951567,NA,NA,-0.112275927951567,-1214.15145815637,-2210.76868900921,NA,NA,-2210.76868900921,368.747735384665,494.678658589747,NA,NA,494.678658589747,-7650.75973919881,-16434.868917496,NA,NA,-16434.868917496
-5866.08755766405,-15426.3299091382,NA,NA,-15426.3299091382,-1504.59425372892,-2900.84034035787,NA,NA,-2900.84034035787,-0.0783048044595287,-0.193726852356817,NA,NA,-0.193726852356817,-1413.49150679639,-2675.85628444498,NA,NA,-2675.85628444498,-91.0534180025428,-224.608725716103,NA,NA,-224.608725716103,-4361.49330393514,-12525.4895687804,NA,NA,-12525.4895687804
-9058.26603116697,-22390.7087497325,NA,NA,-22390.7087497325,-1391.76267600605,-2717.72286352043,NA,NA,-2717.72286352043,-0.028935675033452,-0.0969520155101204,NA,NA,-0.0969520155101204,-1354.2002010592,-2567.31492879473,NA,NA,-2567.31492879473,-37.521123449161,-150.058317398386,NA,NA,-150.058317398386,-7666.50335516092,-19672.9858862121,NA,NA,-19672.9858862121
11848.2122791087,11418.6558905535,NA,NA,11418.6558905535,-1009.02937552853,-2360.93128939803,NA,NA,-2360.93128939803,-0.0722932565071117,-0.189628524626405,NA,NA,-0.189628524626405,-1707.90712756894,-3202.84090049367,NA,NA,-3202.84090049367,698.949352733382,842.394069282972,NA,NA,842.394069282972,12857.2416546373,13779.5871799515,NA,NA,13779.5871799515
-5340.28900957644,-16656.1368776642,NA,NA,-16656.1368776642,-1320.26840400084,-2676.91120219819,NA,NA,-2676.91120219819,-0.00599309568525203,-0.0665657347291517,NA,NA,-0.0665657347291517,-1482.20499852978,-2789.38820734215,NA,NA,-2789.38820734215,161.951054024506,112.733967607034,NA,NA,112.733967607034,-4020.02060557561,-13979.225675466,NA,NA,-13979.225675466
-18833.6832303336,-43354.4159314914,NA,NA,-43354.4159314914,-1525.13109199839,-3046.96098077054,NA,NA,-3046.96098077054,-0.0286592477128073,-0.115311452329855,NA,NA,-0.115311452329855,-1569.01790843646,-3000.55206737089,NA,NA,-3000.55206737089,43.9826416908592,-45.7486440643081,NA,NA,-45.7486440643081,-17308.5521383352,-40307.4549507208,NA,NA,-40307.4549507208
972.357823661296,1441.26993223533,NA,NA,1441.26993223533,-717.351896929862,-1304.35121475887,NA,NA,-1304.35121475887,-0.0106721423163207,-0.0402418993314667,NA,NA,-0.0402418993314667,-1264.41261538099,-2272.27960597914,NA,NA,-2272.27960597914,546.925646740745,967.104598577394,NA,NA,967.104598577394,1689.70972059116,2745.6211469942,NA,NA,2745.6211469942
158.858506490706,-2989.36657930083,NA,NA,-2989.36657930083,103.65147522291,-392.956238416964,NA,NA,-392.956238416964,-0.0446866590689328,-0.133035138416632,NA,NA,-0.133035138416632,-1783.69613869762,-3443.80006410662,NA,NA,-3443.80006410662,1887.36588863147,3051.18169619185,NA,NA,3051.18169619185,55.207031267797,-2596.41034088386,NA,NA,-2596.41034088386
-3420.18863168195,-10798.5541098303,NA,NA,-10798.5541098303,-1703.26107070579,-3164.01422700774,NA,NA,-3164.01422700774,-0.0139081797239056,-0.0760517407492663,NA,NA,-0.0760517407492663,-1301.68115815249,-2414.76720967787,NA,NA,-2414.76720967787,-401.608887546865,-749.385976460821,NA,NA,-749.385976460821,-1716.92756097616,-7634.53988282257,NA,NA,-7634.53988282257
19048.8966734485,36449.186110471,NA,NA,36449.186110471,-1868.1191063534,-3521.50123590143,NA,NA,-3521.50123590143,-0.0448090038406398,-0.126926322362408,NA,NA,-0.126926322362408,-1614.04069935493,-3128.58675961407,NA,NA,-3128.58675961407,-254.045702813836,-392.762752205768,NA,NA,-392.762752205768,20917.0157798019,39970.6873463724,NA,NA,39970.6873463724
