"n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr"
-29701.6250489145,NA,NA,-3187.21147625029,NA,NA,-0.273662499594099,NA,NA
-27170.9703559266,NA,NA,-3221.12243564889,NA,NA,-0.241569504182387,NA,NA
-19553.5777786073,NA,NA,-2772.66760061959,NA,NA,-0.257384771213863,NA,NA
-12605.1560924483,NA,NA,-2769.04985494052,NA,NA,-0.252304179391993,NA,NA
-15330.9307204563,NA,NA,-3338.67518006765,NA,NA,-0.260821394740299,NA,NA
-25504.9239657819,NA,NA,-3221.69108018083,NA,NA,-0.270495242333225,NA,NA
-16052.8099731268,NA,NA,-3296.34577061924,NA,NA,-0.244870092350656,NA,NA
-16985.7868462356,NA,NA,-2503.08000855802,NA,NA,-0.243586020325171,NA,NA
-14638.7117077235,NA,NA,-2804.3340225042,NA,NA,-0.26623648255209,NA,NA
-22361.0203214746,NA,NA,-3569.9090664195,NA,NA,-0.277096075770459,NA,NA
-18078.8183026074,NA,NA,-3337.2752274061,NA,NA,-0.229923153369036,NA,NA
-21146.2040541646,NA,NA,-3383.82868690241,NA,NA,-0.232444629027599,NA,NA
-25835.9273875466,NA,NA,-2954.53617948358,NA,NA,-0.273523189113289,NA,NA
-19411.4418393396,NA,NA,-3329.94463244093,NA,NA,-0.219799790300692,NA,NA
-13171.0091780337,NA,NA,-2761.82917423683,NA,NA,-0.248474377633059,NA,NA
-20410.4941268688,NA,NA,-2851.69045074614,NA,NA,-0.224481794398557,NA,NA
-29892.4253241934,NA,NA,-2874.9929294035,NA,NA,-0.245561014374036,NA,NA
-23270.2698891828,NA,NA,-3560.16592905979,NA,NA,-0.319962758736228,NA,NA
-25852.3159088515,NA,NA,-3657.82330609654,NA,NA,-0.246247375684066,NA,NA
