n_inc_costs_TOTAL_6mo,n_inc_costs_TOTAL_1yr,n_inc_costs_TOTAL_5yr,n_inc_costs_TOTAL_10yr,n_inc_costs_TOTAL_life,n_inc_costs_HEALTH_SECTOR_6mo,n_inc_costs_HEALTH_SECTOR_1yr,n_inc_costs_HEALTH_SECTOR_5yr,n_inc_costs_HEALTH_SECTOR_10yr,n_inc_costs_HEALTH_SECTOR_life,n_inc_qalys_TOTAL_6mo,n_inc_qalys_TOTAL_1yr,n_inc_qalys_TOTAL_5yr,n_inc_qalys_TOTAL_10yr,n_inc_qalys_TOTAL_life,n_inc_costs_TX_6mo,n_inc_costs_TX_1yr,n_inc_costs_TX_5yr,n_inc_costs_TX_10yr,n_inc_costs_TX_life,n_inc_costs_HRU_6mo,n_inc_costs_HRU_1yr,n_inc_costs_HRU_5yr,n_inc_costs_HRU_10yr,n_inc_costs_HRU_life,n_inc_costs_CRIMINAL_6mo,n_inc_costs_CRIMINAL_1yr,n_inc_costs_CRIMINAL_5yr,n_inc_costs_CRIMINAL_10yr,n_inc_costs_CRIMINAL_life,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME
1655.884784,3142.983581,9269.179622,10242.1073,8179.813308,-1165.732305,-1997.018597,-4413.660717,-4966.694853,-5218.019109,-0.001137648,-0.004060768,-0.037207173,-0.073691418,-0.148075023,-1408.405322,-2472.353618,-5708.851865,-6478.612692,-7144.399989,242.6647579,475.2982946,1294.612759,1510.823615,1924.379869,2821.617089,5140.002178,13682.84034,15208.80216,13397.83242,,0,1,0,0,,,,,
7139.848196,10855.57534,18527.32751,19124.66045,18030.31763,-1057.267526,-1722.08204,-3411.96389,-3753.044778,-3834.203989,0.011061307,0.015918238,0.01299378,-0.002176417,-0.036028608,-1130.026895,-1893.277369,-3819.765604,-4186.0094,-4458.385106,72.7537888,171.1693881,407.4671887,432.3930505,623.1952199,8197.115722,12577.65738,21939.29139,22877.70523,21864.52161,,0,1,0,0,,,,,
2591.773398,5295.518285,15365.5685,17015.55155,15125.11033,-1360.991671,-2330.243419,-4862.461263,-5335.34958,-5538.594014,0.015669097,0.023691006,0.019995753,-0.012302158,-0.088097824,-1419.846665,-2552.120593,-5796.303343,-6452.039524,-7114.462164,58.84522508,221.8326988,933.1044833,1115.169854,1572.742246,3952.765069,7625.761704,20228.02977,22350.90113,20663.70435,,0,1,0,0,,,,,
-841.4479847,-941.4726102,-500.7512726,-1017.110936,-3135.508,-1268.466483,-2130.242336,-4685.534719,-5357.178221,-5621.624986,0.003766748,0.003033518,-0.034346059,-0.086837483,-0.197895265,-1270.726648,-2257.650611,-5362.161725,-6165.491046,-6929.985834,2.255265177,127.3827504,676.1522064,807.3657622,1306.229242,427.0184983,1188.769726,4184.783447,4340.067285,2486.116985,,0,0,1,0,,,,,
498.9858287,1031.727281,2093.561382,1471.664333,-748.9934805,-1225.908357,-2069.208446,-4327.344709,-4738.241441,-4886.000512,0.004037701,0.006899354,-0.005333482,-0.032320447,-0.090347775,-1331.692963,-2346.257744,-5292.165489,-5868.730552,-6349.952776,105.7747395,277.0043816,964.085639,1129.021395,1461.321885,1724.894186,3100.935727,6420.906091,6209.905774,4137.007032,,0,0,1,0,,,,,
-3112.602537,-4667.036607,-7820.851876,-8811.627551,-11203.33384,-1131.822314,-1937.844175,-4146.140802,-4549.960238,-4759.218778,0.002620397,0.003643517,-0.011321665,-0.035188311,-0.087867965,-1311.838425,-2308.023366,-5007.050747,-5488.21834,-5950.516211,180.0131779,370.164628,860.6872256,937.8563968,1190.54303,-1980.780222,-2729.192432,-3674.711075,-4261.667313,-6444.115066,,0,0,1,0,,,,,
4979.205386,8293.286113,18487.76156,20090.15327,18469.79048,-1643.73055,-2820.979591,-6307.53494,-7061.217342,-7253.124204,0.005206773,0.007489362,-0.004825476,-0.028175009,-0.081567529,-1544.798161,-2771.508181,-6655.61607,-7541.739902,-8158.560435,-98.93948132,-49.50705735,347.5033875,479.5109214,903.7711105,6622.935936,11114.2657,24795.2965,27151.37061,25722.91468,,0,1,0,0,,,,,
1645.570103,2077.63524,1340.504441,39.90706647,-2728.221827,-1616.77759,-2691.204056,-5660.554496,-6302.161365,-6553.943027,0.009015323,0.012735782,-0.004746552,-0.042022326,-0.120264201,-1421.626794,-2471.615314,-5602.714609,-6312.432915,-6867.915749,-195.1553282,-219.6097678,-58.22069708,9.509358455,312.4668107,3262.347693,4768.839296,7001.058937,6342.068432,3825.721199,,0,0,1,0,,,,,
6059.858979,9141.633717,16589.66975,17287.1432,15274.76225,-1332.176928,-2292.857989,-5016.030126,-5569.392899,-5704.660125,0.001021259,0.000814638,-0.018445349,-0.048257513,-0.116402266,-1495.954876,-2628.572638,-5965.467867,-6661.513816,-7167.782803,163.7692824,335.6785058,948.8974183,1091.066032,1461.121091,7392.035907,11434.49171,21605.69988,22856.5361,20979.42237,,0,1,0,0,,,,,
-6937.715638,-10165.50152,-18139.67263,-20885.07399,-24414.80799,-805.8441401,-1438.674827,-3428.724931,-3848.58241,-3895.174768,0.008600781,0.012278795,-0.001222635,-0.031771873,-0.099124571,-1247.296325,-2220.702562,-5248.395153,-5889.944362,-6317.692297,441.444266,781.989595,1819.014396,2040.073449,2420.153787,-6131.871498,-8726.826698,-14710.94769,-17036.49158,-20519.63322,,0,0,1,0,,,,,
-3107.080647,-4277.482171,-5281.465638,-5338.776588,-6511.619413,-1074.867088,-1772.176858,-3810.433791,-4282.072345,-4410.541323,0.000757747,0.00050594,-0.015138667,-0.036241662,-0.083072247,-1189.072311,-2028.515753,-4634.7224,-5267.324842,-5666.766722,114.2030162,256.3267722,824.020811,984.6754334,1254.981911,-2032.213559,-2505.305313,-1471.031847,-1056.704243,-2101.078089,,0,0,1,0,,,,,
9238.858282,14570.89367,27241.352,28037.69021,25081.69132,-1368.684814,-2282.010457,-5008.180041,-5820.763185,-6335.773549,-0.004200205,-0.008739217,-0.059125317,-0.116568989,-0.228561015,-1511.449705,-2667.111598,-6133.805886,-7068.595044,-8074.266588,142.7582774,385.06879,1125.145266,1246.991576,1736.790612,10607.5431,16852.90413,32249.53204,33858.45339,31417.46487,,0,1,0,0,,,,,
9882.511343,14476.92335,22208.97416,21556.35721,17473.86759,-1358.077827,-2275.691065,-5279.060013,-6273.684995,-6948.062326,-0.006637507,-0.01433316,-0.090781161,-0.177583021,-0.348046166,-1619.298883,-2898.012069,-7046.322121,-8241.696168,-9571.91552,261.2103138,622.2681848,1766.403233,1966.407796,2620.553934,11240.58917,16752.61442,27488.03418,27830.04221,24421.92992,,0,1,0,0,,,,,
-8224.867582,-13116.2886,-26152.58065,-29282.50966,-32346.03521,-1243.826468,-2154.885946,-4691.611581,-5208.727919,-5381.452494,0.010425651,0.015226361,0.003790969,-0.029647832,-0.11167163,-1463.506279,-2566.352884,-5684.676405,-6332.099332,-6938.69536,219.6673859,411.4098563,992.1844475,1121.65381,1553.974466,-6981.041114,-10961.40265,-21460.96907,-24073.78174,-26964.58271,,0,0,1,0,,,,,
664.0688306,1537.841719,5882.367818,6651.912669,4006.089363,-1041.095546,-1678.838726,-3474.454209,-3864.014205,-4182.428701,0.002599573,0.002113721,-0.030446531,-0.075683235,-0.173788938,-1394.809827,-2506.860984,-5651.799335,-6307.723026,-7010.204961,353.7030988,827.9692538,2176.481527,2441.968963,2824.220085,1705.164376,3216.680445,9356.822028,10515.92687,8188.518064,,0,1,0,0,,,,,
166.1619234,395.8496605,1281.850298,1295.974966,411.5260536,-1003.188999,-1723.341428,-3644.718432,-3962.050181,-4066.566375,0.00305063,0.003315673,-0.008350533,-0.02281642,-0.055989595,-1395.757291,-2354.28798,-4849.184572,-5250.73483,-5520.832933,392.5674667,630.9418239,1204.397194,1288.586183,1454.120442,1169.350923,2119.191088,4926.568729,5258.025148,4478.092428,,0,1,0,0,,,,,
