"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr"
65336.3197446371,NA,NA,10986.9518235548,NA,NA
130924.10148506,NA,NA,13492.8739224161,NA,NA
82713.0636934899,NA,NA,12149.2253864979,NA,NA
56937.968510146,NA,NA,9600.3966078136,NA,NA
148039.854952483,NA,NA,10809.5370252025,NA,NA
71827.8329820419,NA,NA,9766.23500520258,NA,NA
73894.7764950321,NA,NA,11085.0115139033,NA,NA
81277.7895345276,NA,NA,10734.9859911341,NA,NA
119817.58274955,NA,NA,9741.79926948709,NA,NA
59165.0444570307,NA,NA,11439.4647543198,NA,NA
81434.0532264467,NA,NA,13294.5230537827,NA,NA
61674.5716930713,NA,NA,9966.97867434264,NA,NA
79575.2622083252,NA,NA,11241.7657206365,NA,NA
83314.9073105677,NA,NA,16505.8196288905,NA,NA
55624.0060771914,NA,NA,10251.5067084701,NA,NA
68386.5220457229,NA,NA,12389.8566186793,NA,NA
98833.8049767512,NA,NA,10453.1093981954,NA,NA
96039.2571578849,NA,NA,9927.52532799532,NA,NA
68218.7626849455,NA,NA,11414.4573672621,NA,NA
75624.3541874386,NA,NA,13835.1963130172,NA,NA
101090.232246236,NA,NA,10835.5294056439,NA,NA
76293.6086226726,NA,NA,14556.3911675293,NA,NA
78748.9189984355,NA,NA,9978.90693985183,NA,NA
96057.0828040258,NA,NA,9519.91594998281,NA,NA
53397.6359897638,NA,NA,10831.2935587593,NA,NA
65261.3438941268,NA,NA,10657.6489190313,NA,NA
62122.0733522964,NA,NA,9754.12478727486,NA,NA
108039.763568354,NA,NA,12669.257063732,NA,NA
94143.9776241607,NA,NA,11225.2391549759,NA,NA
58232.8480475853,NA,NA,11691.8946022929,NA,NA
64964.2271692006,NA,NA,9238.98556079057,NA,NA
79365.4057587019,NA,NA,11317.4077914109,NA,NA
50042.6997473977,NA,NA,10522.6015312147,NA,NA
115005.985755324,NA,NA,12492.9084162163,NA,NA
102437.881098489,NA,NA,12724.7489200049,NA,NA
92663.7425397125,NA,NA,11587.0969061566,NA,NA
94272.9950612371,NA,NA,13206.7690595718,NA,NA
82922.1447187255,NA,NA,9249.2150767338,NA,NA
61682.6261489036,NA,NA,10725.4668106708,NA,NA
80385.81776429,NA,NA,11736.1356405783,NA,NA
80576.8409730284,NA,NA,10049.707741818,NA,NA
69872.8340241604,NA,NA,11400.3929783519,NA,NA
64457.1967477038,NA,NA,13688.4170238672,NA,NA
63227.1937161152,NA,NA,10813.0124767494,NA,NA
101992.474798427,NA,NA,11394.3927330202,NA,NA
76682.8294418028,NA,NA,8746.3991395531,NA,NA
58848.9438178272,NA,NA,10546.4147016517,NA,NA
83569.3154889253,NA,NA,10185.648774367,NA,NA
101334.987907595,NA,NA,13325.2588979636,NA,NA
80312.2077804525,NA,NA,9861.77973894556,NA,NA
92954.8052921903,NA,NA,10235.0398663341,NA,NA
101417.889627254,NA,NA,12918.2780881951,NA,NA
102175.551721791,NA,NA,11427.5244609831,NA,NA
82137.7434622619,NA,NA,12038.0264264613,NA,NA
85570.1830212643,NA,NA,7947.54562127291,NA,NA
54679.3834442492,NA,NA,11497.5742636356,NA,NA
95999.2557252853,NA,NA,11891.2172067934,NA,NA
60890.2412092163,NA,NA,9063.21041010313,NA,NA
76130.9117707997,NA,NA,12177.7487023873,NA,NA
47155.8373743923,NA,NA,11103.4168492299,NA,NA
87359.9717376707,NA,NA,12468.3680129492,NA,NA
80251.1884638222,NA,NA,11140.2131041399,NA,NA
109072.982905848,NA,NA,11305.7423337799,NA,NA
58392.0517345241,NA,NA,9779.1831103806,NA,NA
109883.906172404,NA,NA,12374.0218435975,NA,NA
86456.5535463515,NA,NA,10413.2292216776,NA,NA
70191.7373293631,NA,NA,13292.7981171816,NA,NA
84073.9037799394,NA,NA,9088.8175253369,NA,NA
107702.968140048,NA,NA,14936.3078475692,NA,NA
86159.4968790722,NA,NA,12628.8956951611,NA,NA
75055.3493278829,NA,NA,11481.4037192933,NA,NA
83466.7930174913,NA,NA,11605.8697405478,NA,NA
65594.2132739398,NA,NA,13017.0300786315,NA,NA
47675.4174348195,NA,NA,10317.461634541,NA,NA
50223.3923692669,NA,NA,10308.0781638438,NA,NA
92587.0746314157,NA,NA,12445.9942667781,NA,NA
67007.1440675834,NA,NA,13920.9026354904,NA,NA
170914.719258318,NA,NA,10166.665878492,NA,NA
125957.059121378,NA,NA,11373.0914387923,NA,NA
80613.8979954361,NA,NA,12176.883338334,NA,NA
92046.1536647337,NA,NA,13467.2119932211,NA,NA
96565.0066777535,NA,NA,12340.2633330789,NA,NA
62893.2858821753,NA,NA,12420.0824887958,NA,NA
82414.862246106,NA,NA,11724.8863811761,NA,NA
76341.7875978526,NA,NA,16743.5184136277,NA,NA
73275.3923026829,NA,NA,12053.0546243182,NA,NA
93476.2643586145,NA,NA,10690.6491038116,NA,NA
51351.8056475354,NA,NA,12285.3646993489,NA,NA
112869.330747421,NA,NA,13310.6284633183,NA,NA
61953.6061037621,NA,NA,10548.177036277,NA,NA
73132.8339403103,NA,NA,17136.6074851403,NA,NA
77321.79403022,NA,NA,11230.3939718395,NA,NA
100076.005590616,NA,NA,11586.577378494,NA,NA
72814.7298736535,NA,NA,15372.1795730828,NA,NA
62314.200706427,NA,NA,12130.8755260192,NA,NA
108237.34963026,NA,NA,11253.7877081877,NA,NA
107471.29095358,NA,NA,10542.5465799999,NA,NA
55510.3118405289,NA,NA,8545.79685267733,NA,NA
44399.1937018622,NA,NA,13164.2465607677,NA,NA
98911.2417583237,NA,NA,11976.998871002,NA,NA
93043.2210985938,NA,NA,11150.4650019609,NA,NA
69555.9299182884,NA,NA,12597.6949727385,NA,NA
106331.810089183,NA,NA,9130.52464778972,NA,NA
52221.6607160718,NA,NA,10499.6088616031,NA,NA
92731.7843479795,NA,NA,10960.9164112298,NA,NA
92246.2722734591,NA,NA,15545.1903110661,NA,NA
40885.7939001362,NA,NA,12133.0190151679,NA,NA
61295.7931171996,NA,NA,9877.84490910857,NA,NA
65139.8497835243,NA,NA,8625.8600992503,NA,NA
96346.3315505731,NA,NA,16280.517454063,NA,NA
70229.9571080667,NA,NA,10411.8688090502,NA,NA
68723.6948663896,NA,NA,12566.9817428302,NA,NA
60364.8128086728,NA,NA,12269.9537235703,NA,NA
66637.7927124229,NA,NA,11938.3908629834,NA,NA
89899.5820770111,NA,NA,10703.4596274408,NA,NA
61376.9605204769,NA,NA,11151.6875797223,NA,NA
71936.6262923127,NA,NA,9062.99616618774,NA,NA
76855.2334817636,NA,NA,9362.08827299071,NA,NA
65330.1636056164,NA,NA,11009.5462461854,NA,NA
66311.9005529778,NA,NA,11319.1397729237,NA,NA
74754.6210485787,NA,NA,13962.9532876105,NA,NA
84734.4951746499,NA,NA,13485.9042571468,NA,NA
63757.2197329893,NA,NA,15097.7157601672,NA,NA
75401.3440811779,NA,NA,9237.49137905489,NA,NA
73723.9353446918,NA,NA,11931.9433457428,NA,NA
56738.6176299591,NA,NA,12727.225295613,NA,NA
66201.358624068,NA,NA,11924.1244804783,NA,NA
90643.3035641004,NA,NA,16333.9716142985,NA,NA
77881.4420719375,NA,NA,12942.0189983917,NA,NA
60363.8890798157,NA,NA,12218.8328305324,NA,NA
125081.972787019,NA,NA,11450.7785023888,NA,NA
88518.9491430719,NA,NA,14081.5054868958,NA,NA
85459.3229446784,NA,NA,12966.2662086236,NA,NA
80403.2341302287,NA,NA,10896.9837869162,NA,NA
66669.3803893363,NA,NA,9079.65355662243,NA,NA
46033.6872784306,NA,NA,10918.7200150958,NA,NA
57513.1351990164,NA,NA,16354.7604274245,NA,NA
63562.3530735079,NA,NA,11170.0520775403,NA,NA
79109.005636394,NA,NA,10879.1051285367,NA,NA
69830.3078917485,NA,NA,10357.2401678056,NA,NA
66848.7560940009,NA,NA,14239.3171767548,NA,NA
113341.629808984,NA,NA,11630.7851603628,NA,NA
78096.793435769,NA,NA,12812.2429050222,NA,NA
62559.2968511849,NA,NA,11669.4516057069,NA,NA
49956.4592069873,NA,NA,10252.4081748021,NA,NA
66798.7055554028,NA,NA,9816.99499123848,NA,NA
72432.5232735289,NA,NA,11579.4342152628,NA,NA
94699.2332448137,NA,NA,10212.3342100478,NA,NA
69530.8655176313,NA,NA,8913.84424231473,NA,NA
30480.7670382878,NA,NA,12480.0616930381,NA,NA
62663.6204098805,NA,NA,12232.5245983415,NA,NA
53209.9699479849,NA,NA,9410.96557579886,NA,NA
84518.9046540113,NA,NA,10498.5706350774,NA,NA
89876.3559631054,NA,NA,14153.0346558387,NA,NA
77476.801301116,NA,NA,10588.747488984,NA,NA
80263.4004531372,NA,NA,9284.56729878309,NA,NA
69355.5298825995,NA,NA,13199.0212684496,NA,NA
106042.145160284,NA,NA,9578.21035343422,NA,NA
98520.8888262896,NA,NA,12384.709583869,NA,NA
87743.5902610356,NA,NA,10813.2455908007,NA,NA
51689.0323022811,NA,NA,11152.4859704719,NA,NA
129254.641440603,NA,NA,13414.1939511178,NA,NA
90490.0062461675,NA,NA,13296.9470400557,NA,NA
83939.3780898814,NA,NA,11877.0030013001,NA,NA
56217.1008344037,NA,NA,10444.1572034002,NA,NA
83087.9708308177,NA,NA,12571.4595962811,NA,NA
45857.2330415299,NA,NA,12892.5201921514,NA,NA
